"configuration","problem","model","data_file","status","time","objectiveBound","variables","solveTime","paths","intVars","peakMem","run","flatBoolVars","nodes","flatIntConstraints","openNodes","failures","peakDepth","initTime","propagations","boolVariables","flatIntVars","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","flatTime","solver_objective","propagators","optTime","method","eliminatedImplications","backjumps","restarts","objective","randomSeed","eliminatedLinearConstraints","evaluatedReifiedConstraints","baseMem","nogoods","trailMem"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.279055917984806","3969","","0.179231","0","","","endtimes_reverse-cp2025_big","1068","","1022","","43","","","14900","182","486","1","378","1210","0.295429","3969","","","minimize","484","","","3969","","","378","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","301.7470718899276","","","","0","","","endtimes_reverse-cp2025_big","5881","","6249","","","","","","","1017","2","147","3524","0.809751","","","","minimize","242","","","43276","","","4764","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","SATISFIED","301.98666735505685","162665","","285.07","0","","","endtimes_reverse-cp2025_big","4848","","5553","","3979","","","9867300","2287","2671","111","1512","4840","1.07102","179186","","","minimize","1936","","","179186","","","1512","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","301.7645335390698","","","","0","","","endtimes_reverse-cp2025_big","5932","","6295","","","","","","","1027","2","156","3536","0.798829","","","","minimize","242","","","45268","","","4788","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","UNKNOWN","303.73639519209974","","","","0","","","endtimes_reverse-cp2025_big","29789","","29339","","","","","","","2593","0","559","17822","2.31886","","","","minimize","968","","","","","","26508","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","SATISFIED","301.15332791395485","82620","","28.219","0","","","endtimes_reverse-cp2025_big","3272","","4129","","15838","","","10962069","758","1974","5","945","3025","0.872936","103773","","","minimize","1210","","","103773","","","945","","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.9172290890710428","","299265","0.012","0","244","0.0","endtimes_reverse-cp2025_big","833","57","651","","0","57","0.278","2070","299019","240","1","74","812","0.255271","1635","914","0.011","minimize","121","0","1","1635","747539656","","482","0.0","0","0.42"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","303.3508967210073","","","","0","","","endtimes_reverse-cp2025_big","41021","","39817","","","","","","","3120","1","766","24709","2.83584","","","","minimize","1331","","","144730","","","36856","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","302.5058611630229","","","","0","","","endtimes_reverse-cp2025_big","19295","","19597","","","","","","","2046","6","352","11312","1.59523","","","","minimize","605","","","103304","","","16914","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.4779357390944","","","","0","","","endtimes_reverse-cp2025_big","79514","","75794","","","","","","","4533","0","1376","47855","4.84956","","","","minimize","2420","","","","","","72870","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.4835811540251598","511","","0.2031","0","","","endtimes_reverse-cp2025_big","40","0","103","","","","","","","100","1","102","","0.200076","511","","","minimize","","","","511","","","84","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.32642585691065","","","","0","","","endtimes_reverse-cp2025_big","35596","","34892","","","","","","","2766","1","629","21152","2.55829","","","","minimize","1089","","","202340","","","32026","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.38796565891244","","","","0","","","endtimes_reverse-cp2025_big","35596","","34892","","","","","","","2766","1","629","21152","2.59937","","","","minimize","1089","","","202874","","","32026","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","OPTIMAL_SOLUTION","62.89067952905316","","148506","61.642","0","644","0.0","endtimes_reverse-cp2025_big","2913","55265","2748","","50644","118","0.263","137916727","147860","639","3","153","2181","0.497017","16854","4271","14.121","minimize","242","4285","3","16854","-1231300415","","2078","0.0","50644","2.11"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","UNKNOWN","303.3079531858675","","","","0","","","endtimes_reverse-cp2025_big","32038","","31669","","","","","","","2641","0","558","18932","2.45289","","","","minimize","968","","","","","","28728","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","302.1668690899387","","","","0","","","endtimes_reverse-cp2025_big","13944","","14205","","","","","","","1669","1","292","8279","1.2894","","","","minimize","484","","","101607","","","11990","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","SATISFIED","301.38403041800484","","","","0","","","endtimes_reverse-cp2025_big","2158","","1793","","","","","","","465","5","140","1881","0.348727","","","","minimize","242","","","2919","","","1478","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","SATISFIED","301.74520816095173","148393","","231.178","0","","","endtimes_reverse-cp2025_big","4324","","5063","","10289","","","7727962","5498","2437","28","1323","4235","1.0038","159702","","","minimize","1694","","","159702","","","1323","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","OPTIMAL_SOLUTION","0.5463643430266529","","5573","0.006","0","138","0.0","endtimes_reverse-cp2025_big","185","11","343","","0","11","0.029","1182","5433","134","1","9","33","0.236416","8247","347","0.006","minimize","","0","1","8247","-828207543","","66","0.0","0","0.08"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","SATISFIED","304.8052304259036","176791","5697","267.04","0","","1136.0","endtimes_reverse-cp2025_big","107237","93842","102214","","41399","","4.49","","","5367","103","","63830","7.08865","196294","59794","","minimize","3025","","","196294","","","100826","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","SATISFIED","300.5065723869484","","78305","299.637","0","445","0.0","endtimes_reverse-cp2025_big","1617","692586","1705","","347844","67","0.115","363688018","77858","440","3","72","1129","0.35408","12944","2536","0.109","minimize","121","344531","3","12944","1152877656","","1116","0.0","347844","3.16"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-05.dzn","OPTIMAL_SOLUTION","0.5418678510468453","","68274","0.003","0","57","0.0","endtimes_reverse-cp2025_big","50","4","115","","0","4","0.061","346","68215","52","1","","4","0.201211","1372","108","0.003","minimize","","0","1","1372","1549164102","","8","0.0","0","0.08"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","SATISFIED","300.6465094500454","37615","","4.30157","0","","","endtimes_reverse-cp2025_big","1488","","2153","","5811","","","1868529","797","1017","4","378","1210","0.54201","44374","","","minimize","484","","","44374","","","378","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","304.59262550016865","","","","0","","","endtimes_reverse-cp2025_big","62138","","59879","","","","","","","3790","1","1035","36981","4.21453","","","","minimize","1815","","","133310","","","56832","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-02.dzn","SATISFIED","302.71745093306527","179683.831215","","300.728","0","","","endtimes_reverse-cp2025_big","4637","1007","61023","324","","","","","","38955","26","35604","","11.0682","193092","","","minimize","","","","193092","","2745","6381","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-04.dzn","SATISFIED","301.9824564990122","","","","0","","","endtimes_reverse-cp2025_big","12358","","12523","","","","","","","1577","2","280","7535","1.12674","","","","minimize","484","","","49201","","","10502","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-01.dzn","SATISFIED","303.9293871091213","","","","0","","","endtimes_reverse-cp2025_big","41523","","40319","","","","","","","3120","1","766","24960","2.90846","","","","minimize","1331","","","181358","","","37358","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","OPTIMAL_SOLUTION","0.5564802309963852","","59521","0.006","0","192","0.0","endtimes_reverse-cp2025_big","719","50","486","","0","50","0.059","1382","59327","190","1","68","778","0.220412","136","704","0.006","minimize","121","0","1","136","1193162496","","414","0.0","0","0.08"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-03.dzn","UNKNOWN","308.23422872205265","","","","0","","","endtimes_reverse-cp2025_big","132694","","126351","","","","","","","6221","0","2056","78711","7.95712","","","","minimize","3630","","","","","","123162","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t045-01.dzn","UNKNOWN","305.853303902084","","","","0","","","endtimes_reverse-cp2025_big","17536","","14074","","","","","","","6987","0","6615","21175","2.58859","","","","minimize","8470","","","","","","6615","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-06.dzn","UNKNOWN","302.24760568805505","","","","0","","","endtimes_reverse-cp2025_big","14588","","14943","","","","","","","1733","0","288","8582","1.41673","","","","minimize","484","","","","","","12596","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-03.dzn","UNKNOWN","303.7750804820098","","","","0","","","endtimes_reverse-cp2025_big","46697","","45179","","","","","","","3253","0","833","27995","3.09108","","","","minimize","1452","","","","","","42286","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","UNKNOWN","310.39400450815447","","","","0","","","endtimes_reverse-cp2025_big","204267","","195253","","","","","","","7878","0","2735","118786","11.5983","","","","minimize","4840","","","","","","191892","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","SATISFIED","300.7459773949813","60899","","282.324","0","","","endtimes_reverse-cp2025_big","2090","","2819","","18158","","","19293019","9040","1340","66","567","1815","0.660336","64494","","","minimize","726","","","64494","","","567","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","SATISFIED","301.5667836179491","","241805","299.044","0","1339","0.0","endtimes_reverse-cp2025_big","9007","412179","9292","","198958","185","0.734","925916326","240464","1314","4","216","5464","0.947233","29101","15892","1.878","minimize","363","211994","20","29101","2055570259","","7502","0.0","198958","3.16"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","OPTIMAL_SOLUTION","2.47994640795514","11319","","0.685007","0","","","endtimes_reverse-cp2025_big","1632","","1573","","1291","","","394922","374","761","1","567","1815","0.425159","11319","","","minimize","726","","","11319","","","567","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","300.6515513990307","16400","802","299.53","0","","66.0","endtimes_reverse-cp2025_big","2913","901421","2733","","434481","","0.11","","","624","22","","2181","0.465526","16854","2432","","minimize","242","","","16854","","","2231","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","303.8435538429767","","","","0","","","endtimes_reverse-cp2025_big","50508","","49071","","","","","","","3307","0","832","29874","3.38261","","","","minimize","1452","","","","","","46044","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","302.6759979201015","115729","2825","72.07","0","","461.0","endtimes_reverse-cp2025_big","20451","97228","20766","","44561","","1.09","","","2057","40","","11858","1.69993","137346","13988","","minimize","605","","","137346","","","18366","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-06.dzn","SATISFIED","302.48974834685214","162794.230827","","300.1338","0","","","endtimes_reverse-cp2025_big","4300","1004","57057","163","","","","","","36634","53","33678","","10.4009","170518","","","minimize","","","","170518","","2440","6056","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","OPTIMAL_SOLUTION","4.990267197019421","10045","","4.4502","0","","","endtimes_reverse-cp2025_big","1262","565","8184","48","","","","","","5267","22","4541","","1.62542","10045","","","minimize","","","","10045","","610","1830","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","SATISFIED","304.49950176803395","88856","4205","291.02","0","","1147.0","endtimes_reverse-cp2025_big","57767","79432","55386","","36750","","2.94","","","3691","133","","34823","3.94996","120569","33777","","minimize","1815","","","120569","","","53552","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","UNKNOWN","302.5958628470544","","","","0","","","endtimes_reverse-cp2025_big","21727","","22091","","","","","","","2106","0","360","12496","1.76061","","","","minimize","605","","","","","","19282","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","UNKNOWN","303.10908977501094","","","","0","","","endtimes_reverse-cp2025_big","24271","","24381","","","","","","","2279","0","425","14197","1.88813","","","","minimize","726","","","","","","21542","","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","SATISFIED","302.02289165812545","164432","","19.5162","0","","","endtimes_reverse-cp2025_big","5254","","5681","","2082","","","1487288","1458","2753","1","1701","5445","1.12093","203788","","","minimize","2178","","","203788","","","1701","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","SATISFIED","302.4083419450326","","","","0","","","endtimes_reverse-cp2025_big","15013","","15399","","","","","","","1763","10","289","8780","1.3596","","","","minimize","484","","","90513","","","12992","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","SATISFIED","300.4979364500614","9148","","3.16669","0","","","endtimes_reverse-cp2025_big","1328","","1764","","8742","","","2627883","528","830","2","378","1210","0.457317","12438","","","minimize","484","","","12438","","","378","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","SATISFIED","302.4734835709678","","","","0","","","endtimes_reverse-cp2025_big","19705","","20007","","","","","","","2046","4","352","11517","1.66516","","","","minimize","605","","","85848","","","17324","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-03.dzn","SATISFIED","305.56934920186177","","","","0","","","endtimes_reverse-cp2025_big","80022","","76302","","","","","","","4533","1","1376","48109","4.96149","","","","minimize","2420","","","173889","","","73378","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","UNKNOWN","308.0578638841398","","","","0","","","endtimes_reverse-cp2025_big","135131","","128788","","","","","","","6221","0","2055","79930","7.88168","","","","minimize","3630","","","","","","125600","","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","302.5389960448956","","","","0","","","endtimes_reverse-cp2025_big","20375","","20708","","","","","","","2076","4","356","11836","1.69672","","","","minimize","605","","","151000","","","17962","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","OPTIMAL_SOLUTION","0.7544432210270315","","10203","0.016","0","377","0.0","endtimes_reverse-cp2025_big","1186","143","1175","","52","64","0.097","55647","9824","374","1","77","935","0.322566","8724","1618","0.012","minimize","121","27","1","8724","532740885","","728","0.0","52","0.19"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","301.33099953003693","90425","","50.129","0","","","endtimes_reverse-cp2025_big","3314","","4267","","126306","","","36807888","1014","2039","4","945","3025","0.885352","112712","","","minimize","1210","","","112712","","","945","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","UNKNOWN","303.32840006402694","","","","0","","","endtimes_reverse-cp2025_big","35667","","34963","","","","","","","2766","0","630","21187","2.63394","","","","minimize","1089","","","","","","32096","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","SATISFIED","300.72823057800997","24232","","7.46621","0","","","endtimes_reverse-cp2025_big","2060","","2755","","13352","","","4187882","775","1309","4","567","1815","0.636332","29101","","","minimize","726","","","29101","","","567","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","SATISFIED","302.009134368971","","","","0","","","endtimes_reverse-cp2025_big","9638","","9957","","","","","","","1346","5","217","5764","1.0205","","","","minimize","363","","","48784","","","8102","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","300.84836493700277","","164937","299.436","0","851","0.0","endtimes_reverse-cp2025_big","4028","661466","4184","","369161","124","0.283","964998663","164084","837","1","136","2678","0.556563","10328","6734","3.209","minimize","242","291831","18","10328","-957609686","","3072","0.0","369161","2.11"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","SATISFIED","302.4887503699865","151799","","6.74388","0","","","endtimes_reverse-cp2025_big","6716","","6770","","8264","","","1917559","2611","3291","1","2268","7260","1.34901","171663","","","minimize","2904","","","171663","","","2268","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","SATISFIED","306.0990947149694","192098","4861","284.44","0","","1717.0","endtimes_reverse-cp2025_big","81370","123445","77601","","54232","","4.25","","","4484","268","","48783","5.31341","254826","46085","","minimize","2420","","","254826","","","76102","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-02.dzn","OPTIMAL_SOLUTION","0.5097920650150627","948","","0.022866","0","","","endtimes_reverse-cp2025_big","28","","78","","0","","","2","1","33","1","","","0.179341","948","","","minimize","","","","948","","","","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","302.5459221160272","","","","0","","","endtimes_reverse-cp2025_big","20375","","20708","","","","","","","2076","4","356","11836","1.67774","","","","minimize","605","","","151000","","","17962","","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","SATISFIED","310.7471895450726","","","","0","","","endtimes_reverse-cp2025_big","204267","","195253","","","","","","","7878","2","2735","118786","12.2927","","","","minimize","4840","","","328458","","","191892","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","UNKNOWN","303.2732142310124","","","","0","","","endtimes_reverse-cp2025_big","32734","","32310","","","","","","","2609","0","560","19289","2.48142","","","","minimize","968","","","","","","29442","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","SATISFIED","301.0851836479269","157919","","243.092","0","","","endtimes_reverse-cp2025_big","3928","","4214","","19919","","","12551977","16486","2410","73","2135","4235","0.995062","173627","","","minimize","1694","","","173627","","","511","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-01.dzn","SATISFIED","301.82095072895754","","177663","299.007","0","1354","0.0","endtimes_reverse-cp2025_big","9239","160883","9554","","153873","197","0.927","507808601","176307","1330","2","212","5579","0.986185","62392","16407","3.803","minimize","363","5937","17","62392","-1817590258","","7732","0.0","153873","1.41"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-03.dzn","SATISFIED","302.90232923196163","","","","0","","","endtimes_reverse-cp2025_big","30585","","30560","","","","","","","2520","3","484","17764","2.29556","","","","minimize","847","","","162752","","","27534","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","302.6501371720806","","","","0","","","endtimes_reverse-cp2025_big","20451","","20815","","","","","","","2106","1","360","11858","1.74121","","","","minimize","605","","","140154","","","18006","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","UNKNOWN","304.6699018520303","","","","0","","","endtimes_reverse-cp2025_big","107433","","102372","","","","","","","5358","0","1716","63957","6.71169","","","","minimize","3025","","","","","","99364","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-03.dzn","UNKNOWN","303.65501012001187","","","","0","","","endtimes_reverse-cp2025_big","39077","","38373","","","","","","","2766","0","628","22893","2.72013","","","","minimize","1089","","","","","","35508","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","304.68647148506716","","","","0","","","endtimes_reverse-cp2025_big","62138","","59879","","","","","","","3790","1","1035","36981","4.23767","","","","minimize","1815","","","131364","","","56832","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","OPTIMAL_SOLUTION","30.131431448971853","18605","","29.5424","0","","","endtimes_reverse-cp2025_big","1388","8223","9623","270","","","","","","6311","20","5592","","2.08947","18605","","","minimize","","","","18605","","610","2138","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","300.5451838799054","17657","","59.8363","0","","","endtimes_reverse-cp2025_big","1414","","1946","","0","","","0","0","919","117","378","1210","0.503375","18605","","","minimize","484","","","18605","","","378","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","301.00244923192076","","377159","299.329","0","942","0.0","endtimes_reverse-cp2025_big","4862","92034","5105","","70375","130","0.356","624445764","376215","923","3","148","3049","0.667551","19133","8305","0.246","minimize","242","21031","16","19133","709651628","","3814","0.0","70375","4.75"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","SATISFIED","302.50891392002814","181914","","29.0123","0","","","endtimes_reverse-cp2025_big","12836","","10913","","13192","","","11494401","4098","5387","2","4725","15125","1.95753","199115","","","minimize","6050","","","199115","","","4725","","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","OPTIMAL_SOLUTION","2.981568584917113","10224","","1.84675","0","","","endtimes_reverse-cp2025_big","682","","932","","7189","","","1025330","266","435","1","189","605","0.294191","10224","","","minimize","242","","","10224","","","189","","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","SATISFIED","300.7213458970655","26164","","4.51713","0","","","endtimes_reverse-cp2025_big","1952","","2474","","19486","","","6277274","536","1176","3","567","1815","0.592288","44508","","","minimize","726","","","44508","","","567","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-04.dzn","SATISFIED","301.4775228910148","63430","","254.069","0","","","endtimes_reverse-cp2025_big","4862","","5641","","3076","","","7739257","1980","2713","48","1512","4840","1.07801","79454","","","minimize","1936","","","79454","","","1512","","",""
