"configuration","problem","model","data_file","status","time","objectiveBound","variables","solveTime","paths","intVars","peakMem","run","flatBoolVars","nodes","flatIntConstraints","openNodes","failures","peakDepth","initTime","propagations","boolVariables","flatIntVars","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","flatTime","solver_objective","propagators","optTime","method","eliminatedImplications","backjumps","restarts","objective","randomSeed","eliminatedLinearConstraints","evaluatedReifiedConstraints","baseMem","nogoods","trailMem"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-06.dzn","OPTIMAL_SOLUTION","76.64274359098636","","293536","75.462","0","515","0.0","endtimes_reverse-cp2025_big","2202","22009","2345","","19194","65","0.223","183921131","293019","508","2","87","1380","0.455694","27481","3600","0.152","minimize","121","2689","2","27481","-1432010513","","1618","0.0","19194","4.75"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-06.dzn","SATISFIED","302.03262403793633","","","","0","","","endtimes_reverse-cp2025_big","13084","","13352","","","","","","","1647","4","276","7876","1.2947","","","","minimize","484","","","41998","","","11184","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-01.dzn","OPTIMAL_SOLUTION","0.6001120649743825","916","257","0.11","0","","7.0","endtimes_reverse-cp2025_big","829","963","653","","462","","0.02","","","235","2","","817","0.214298","916","707","","minimize","121","","","916","","","560","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-04.dzn","SATISFIED","300.7238417910412","5381","950","299.53","0","","83.0","endtimes_reverse-cp2025_big","3236","731103","3245","","357089","","0.13","","","724","29","","2320","0.468114","9634","2871","","minimize","242","","","9634","","","2492","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-02.dzn","UNKNOWN","0.5503824960906059","0","","0.004564","0","","","endtimes_reverse-cp2025_big","54","","142","","0","","","0","0","62","0","","","0.195843","0","","","minimize","","","","","","","","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-05.dzn","SATISFIED","300.8704336079536","21778","1236","299.36","0","","121.0","endtimes_reverse-cp2025_big","4870","837638","5054","","407037","","0.2","","","880","32","","3056","0.637748","25828","4080","","minimize","242","","","25828","","","3980","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.511934095993638","511","","0.025259","0","","","endtimes_reverse-cp2025_big","28","","89","","0","","","3","2","36","1","","","0.175584","511","","","minimize","","","","511","","","","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-03.dzn","SATISFIED","300.4704359959578","3475","","0.246781","0","","","endtimes_reverse-cp2025_big","1248","","1520","","5","","","22143","165","715","3","378","1210","0.419341","4842","","","minimize","484","","","4842","","","378","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","301.3361162239453","131369","","150.263","0","","","endtimes_reverse-cp2025_big","3342","","4326","","0","","","0","0","2068","50","945","3025","0.904732","140738","","","minimize","1210","","","140738","","","945","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-05.dzn","OPTIMAL_SOLUTION","0.4711254760622978","","26098","0.002","0","36","0.0","endtimes_reverse-cp2025_big","30","3","74","","0","3","0.024","210","26060","34","1","","2","0.193495","580","69","0.002","minimize","","0","1","580","105832153","","4","0.0","0","0.05"
