"configuration","problem","model","data_file","status","time","objectiveBound","peakDepth","eliminatedLinearConstraints","flatIntVars","propagations","intVars","method","flatBoolConstraints","nodes","objective","restarts","evaluatedReifiedConstraints","flatTime","optTime","initTime","flatIntConstraints","randomSeed","nSolutions","failures","paths","solver_objective","variables","run","propagators","eliminatedImplications","baseMem","trailMem","openNodes","evaluatedHalfReifiedConstraints","solveTime","peakMem","boolVariables","flatBoolVars","nogoods","backjumps"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","OPTIMAL_SOLUTION","0.8871877710334957","","112","","524","83426","529","minimize","1870","317","1442","2","1456","0.400189","0.021","0.114","1888","-1933769462","1","134","0","1442","11276","makespan_reverse-cp2025","2871","242","0.0","2.11","","146","0.021","0.0","10745","2190","134","98"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-02.dzn","UNKNOWN","310.6679657569621","","","","7861","","","minimize","118186","","","","190692","11.6818","","","194016","","0","","0","","","makespan_reverse-cp2025","","4840","","","","2735","","","","203057","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","OPTIMAL_SOLUTION","4.01895610592328","","316","","1412","10893131","1421","minimize","7464","5188","3348","8","8076","0.980889","1.227","0.947","9050","1281815373","2","4263","0","3348","41807","makespan_reverse-cp2025","15701","726","0.0","16.02","","423","1.253","0.0","40384","10129","4263","797"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-05.dzn","OPTIMAL_SOLUTION","0.491601609159261","","3","","33","203","35","minimize","2","3","328","1","4","0.198012","0.001","0.024","73","1747335709","1","0","0","328","25054","makespan_reverse-cp2025","67","","0.0","0.05","","","0.001","0.0","25017","30","0","0"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","OPTIMAL_SOLUTION","0.575513768941164","","50","","190","1382","192","minimize","778","50","136","1","414","0.227258","0.006","0.058","486","25760671","1","0","0","136","59521","makespan_reverse-cp2025","704","121","0.0","0.08","","68","0.006","0.0","59327","719","0","0"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","OPTIMAL_SOLUTION","11.530152363935485","3013","","2440","16950","","","minimize","","55","3013","","3820","4.83182","","","28632","","4","","0","3013","","makespan_reverse-cp2025","","","","","17","13885","10.774","","","3294","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-01.dzn","OPTIMAL_SOLUTION","15.376031456980854","3933","","3050","23322","","","minimize","","1","3933","","4514","6.41148","","","39102","","1","","0","3933","","makespan_reverse-cp2025","","","","","","19544","14.5394","","","4068","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","OPTIMAL_SOLUTION","0.4451520040165633","","1","","17","52","19","minimize","","1","350","1","","0.184086","0.003","0.011","36","1102112690","1","0","0","350","10828","makespan_reverse-cp2025","31","","0.0","0.05","","","0.003","0.0","10807","14","0","0"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","OPTIMAL_SOLUTION","2.2092738640494645","1654","","","718","97962","","minimize","1815","","1654","","567","0.414468","","","1484","","7","109","0","1654","","makespan_reverse-cp2025","","726","","","","567","0.536963","","139","1598","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","OPTIMAL_SOLUTION","4.169550894992426","2693","","","1158","200647","","minimize","3025","","2693","","945","0.566918","","","2376","","5","311","0","2693","","makespan_reverse-cp2025","","1210","","","","945","0.856005","","160","2642","",""
