"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","SATISFIED","1.6999008655548096","","0","sat_appear-cp2025","","satisfy","","","1.2021","","1.02","","","1240","","3389","0","5790","","","","","658","","974","","2577","1","","","","",""
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","SATISFIED","0.7450545616447926","0","0","sat_appear-cp2025","353","satisfy","-491013330","0","0.01","0","0.272168","","","590","136","350","59","943","1293","0","2.11","0.0","","903","1001","0.082","90","1","13445","58","3413","0.0","13800"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-06.dzn","ERROR","0.24429044127464294","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-01.dzn","SATISFIED","0.7609001398086548","0","0","sat_appear-cp2025","387","satisfy","-1786148326","0","0.008","0","0.294107","","","607","141","381","62","1006","1372","0","3.16","0.0","","925","1048","0.077","101","1","8700","61","4113","0.0","9089"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","ERROR","0.21574456617236137","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-06.dzn","ERROR","0.2205035611987114","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-03.dzn","UNKNOWN","312.15419148281217","","0","sat_appear-cp2025","","satisfy","","","237.3776","","62.5567","","","16478","","215863","1","342644","","","","","13160","","15604","","199205","0","","","","",""
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","ERROR","0.2115117311477661","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","SATISFIED","1.6538031361997128","0","0","sat_appear-cp2025","1094","satisfy","262828541","0","0.025","0","0.632045","","","5044","605","1085","267","5666","9680","0","1.41","0.0","","5377","6679","0.412","340","1","15552","266","26999","0.0","16648"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-04.dzn","ERROR","0.24398661777377129","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-04.dzn","SATISFIED","2.047302283346653","1","0","sat_appear-cp2025","1291","satisfy","1696032599","0","0.03","1","0.759707","","","6898","726","1285","317","7607","13279","0","2.11","0.0","","6875","8836","0.575","408","1","17747","315","37499","0.0","19040"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-03.dzn","SATISFIED","0.8568909540772438","18","0","sat_appear-cp2025","","satisfy","","","0.03","","0.275153","","","1138","247","417","45","1189","1254","","","","","1661","1628","0.03","","1","","","","14.0","415"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-03.dzn","SATISFIED","4.945437040179968","5","0","sat_appear-cp2025","2479","satisfy","-630723297","0","0.071","5","1.77652","","","21696","1452","2465","627","22907","42183","0","0.94","0.0","","17700","25492","1.724","816","1","39150","621","139680","0.0","41631"
"cpsat_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","ERROR","0.21266989037394524","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-01.dzn","SATISFIED","245.96309177204967","","0","sat_appear-cp2025","","satisfy","","","242.314","","32.2477","","","17733","","105629","1","179351","","","","","8400","","9854","","84261","1","","","","",""
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-02.dzn","ERROR","0.23213286697864532","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","SATISFIED","74.92032600194216","","0","sat_appear-cp2025","","satisfy","","","72.3965","","22.7915","","","14168","","75919","1","130603","","","","","7200","","8169","","58981","1","","","","",""
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-03.dzn","ERROR","0.20977922528982162","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-05.dzn","SATISFIED","2.0017557442188263","3","0","sat_appear-cp2025","1503","satisfy","-793267894","0","0.027","3","0.803907","","","5801","705","1496","270","6972","11662","0","3.16","0.0","","6008","7612","0.524","505","1","17676","266","40629","0.0","19181"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-01.dzn","SATISFIED","5.604746114462614","3","0","sat_appear-cp2025","3025","satisfy","1098657277","26","0.103","3","2.03043","","","25804","1632","3008","651","27681","50931","0","7.12","0.0","","20198","29764","1.973","1080","1","50917","621","277180","0.0","53944"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-02.dzn","SATISFIED","0.8376329205930233","0","0","sat_appear-cp2025","108","satisfy","145500767","0","0.013","0","0.236154","","","68","","103","7","257","333","0","0.12","0.0","","34","184","0.174","","1","152393","6","1325","0.0","152503"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-02.dzn","SATISFIED","1.2416958808898926","0","0","sat_appear-cp2025","1139","satisfy","-1715121837","0","0.016","0","0.562005","","","1554","392","1130","114","2763","3820","0","1.41","0.0","","2310","2552","0.208","422","1","17309","113","11531","0.0","18450"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-04.dzn","SATISFIED","0.8958955816924572","0","0","sat_appear-cp2025","560","satisfy","-1752351270","0","0.013","0","0.359777","","","1281","262","553","112","1720","2564","0","2.11","0.0","","1833","2003","0.119","169","1","11705","111","6990","0.0","12267"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","SATISFIED","8.731542211025953","10","0","sat_appear-cp2025","7174","satisfy","-707737590","0","0.165","10","3.32596","","","32373","2940","7149","780","39025","67575","0","10.68","0.0","","27684","38410","3.037","3165","1","82336","769","237142","0.0","89512"
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-03.dzn","ERROR","0.20975960418581963","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpotimizer_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-04.dzn","UNKNOWN","301.1121250130236","4572733","0","sat_appear-cp2025","","satisfy","","","299.04","","0.948579","","","7872","786","1795","9172117","8522","7012","","","","","7518","9466","0.3","","0","","","","138.0","1763"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","SATISFIED","3.800519622862339","82","0","sat_appear-cp2025","","satisfy","","","0.83","","1.29679","","","14214","1134","2174","205","14774","10767","","","","","12174","16503","0.56","","1","","","","218.0","2152"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-06.dzn","SATISFIED","3.417785622179508","27","0","sat_appear-cp2025","3489","satisfy","651378779","0","0.058","27","1.44718","","","9377","1372","3477","394","12741","20343","0","1.41","0.0","","10054","12350","0.963","1477","1","33689","366","135021","0.0","37180"
"cpsat_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-01.dzn","ERROR","0.23064200952649117","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-02.dzn","ERROR","0.22629336267709732","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-06.dzn","SATISFIED","1.636626061052084","0","0","sat_appear-cp2025","1396","satisfy","1360705341","0","0.021","0","0.67509","","","3856","624","1384","218","5032","7958","0","1.41","0.0","","4562","5370","0.38","492","1","22023","217","22070","0.0","23421"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-01.dzn","SATISFIED","2.4262925013899803","0","0","sat_appear-cp2025","958","satisfy","232019109","0","0.025","0","0.330834","","","1296","272","545","106","1695","2551","0","1.41","0.0","","1864","1990","1.479","180","1","861051","105","6677","0.0","862011"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-03.dzn","SATISFIED","1.318040356040001","0","0","sat_appear-cp2025","531","satisfy","-561203120","0","0.014","0","0.270928","","","500","136","303","58","760","1032","0","2.11","0.0","","858","875","0.563","90","1","348091","57","2728","0.0","348624"
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-03.dzn","SATISFIED","4.290843587368727","1","0","sat_appear-cp2025","2794","satisfy","531103385","25","0.068","1","1.59754","","","16846","1410","2781","550","18777","33442","0","3.16","0.0","","14638","20272","1.438","1010","1","35681","523","146691","0.0","38477"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-04.dzn","SATISFIED","1.0046061538159847","1","0","sat_appear-cp2025","643","satisfy","-2012587590","0","0.015","1","0.393276","","","2006","363","638","159","2350","3745","0","3.16","0.0","","2716","2973","0.163","204","1","8308","157","11081","0.0","8953"
"chuffed_fixed_fixedorderrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","SATISFIED","27.20370412990451","124","0","sat_appear-cp2025","6918","satisfy","-1967683994","16","0.662","124","9.744","","","147962","4235","6881","1959","150875","291886","1","7.12","0.0","","93966","158773","10.312","2380","1","188613","1778","2285647","0.0","195533"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","SATISFIED","2.148725751787424","0","0","sat_appear-cp2025","1321","satisfy","-549055856","0","0.029","0","0.763811","","","6956","726","1313","322","7723","13441","0","10.68","0.0","","6904","8922","0.626","408","1","20023","321","36392","0.0","21346"
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","ERROR","0.2337159886956215","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","SATISFIED","1.301228679716587","","0","sat_appear-cp2025","","satisfy","","","0.8623","","0.729571","","","953","","2138","0","3923","","","","","360","","522","","1361","1","","","","",""
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-05.dzn","SATISFIED","1.0273919627070427","3","0","sat_appear-cp2025","635","satisfy","974480611","0","0.015","3","0.391903","","","1500","272","628","118","2067","3109","0","0.94","0.0","","1966","2274","0.177","180","1","10324","114","12395","0.0","10961"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","SATISFIED","1.6420011296868324","2","0","sat_appear-cp2025","1395","satisfy","1049514157","0","0.022","2","0.684658","","","3802","624","1386","216","4973","7848","0","4.75","0.0","","4535","5314","0.373","492","1","22714","213","24753","0.0","24111"
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","ERROR","0.20662666857242584","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","SATISFIED","2.94313133507967","0","0","sat_appear-cp2025","3029","satisfy","-1764297046","0","0.037","0","1.259","","","7226","1176","3018","322","10179","15886","0","10.68","0.0","","8212","9816","0.801","1266","1","28135","321","44463","0.0","31166"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-02.dzn","SATISFIED","11.859317552298307","10","0","sat_appear-cp2025","6274","satisfy","2109058485","0","0.223","10","4.40333","","","55574","3120","6246","1034","60115","111138","0","36.04","0.0","","40957","62490","4.265","2460","1","96735","1023","387970","0.0","103011"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-03.dzn","SATISFIED","2.5704371593892574","44","0","sat_appear-cp2025","1792","satisfy","1988995873","0","0.053","44","1.01532","","","9130","952","1782","407","10278","17910","0","10.68","0.0","","8821","11459","0.717","630","1","29892","362","178422","0.0","31686"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-06.dzn","SATISFIED","8.037947922945023","","0","sat_appear-cp2025","","satisfy","","","7.2181","","4.95378","","","6018","","17813","1","33735","","","","","2496","","2645","","10531","1","","","","",""
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-02.dzn","SATISFIED","4.3236798867583275","3","0","sat_appear-cp2025","2795","satisfy","1069427509","12","0.062","3","1.56376","","","15744","1410","2781","534","17675","31238","0","2.11","0.0","","14087","19170","1.493","1010","1","31118","518","125372","0.0","33915"
"chuffed_fixed_standardrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","SATISFIED","1.9175830893218517","0","0","sat_appear-cp2025","1697","satisfy","-1394916437","0","0.027","0","0.784332","","","5235","780","1685","267","6616","10695","0","1.41","0.0","","5910","7084","0.481","615","1","21617","266","31274","0.0","23316"
"gurobi_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-05.dzn","SATISFIED","0.8743037283420563","","0","sat_appear-cp2025","","satisfy","","","0.4563","","0.439315","","","507","","1130","0","2060","","","","","305","","432","","742","1","","","","",""
"chuffed_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","SATISFIED","1.9671377763152122","0","0","sat_appear-cp2025","1364","satisfy","-725165087","0","0.027","0","0.726299","","","5370","680","1356","271","6358","10637","0","4.75","0.0","","5725","7111","0.551","450","1","17486","270","30741","0.0","18852"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-03.dzn","SATISFIED","7.426075536757708","","0","sat_appear-cp2025","","satisfy","","","6.6695","","4.91817","","","4007","","19283","1","32996","","","","","2961","","3651","","15551","1","","","","",""
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-01.dzn","ERROR","0.21264443919062614","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","SATISFIED","15.315950509160757","588","0","sat_appear-cp2025","","satisfy","","","9.1","","2.60748","","","33264","1890","3512","1334","33968","22392","","","","","25077","36975","1.72","","1","","","","580.0","3382"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-04.dzn","SATISFIED","6.9807661063969135","","0","sat_appear-cp2025","","satisfy","","","6.2738","","4.20079","","","4398","","16862","1","30263","","","","","2688","","3187","","12062","1","","","","",""
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-06.dzn","SATISFIED","2.048998136073351","0","0","sat_appear-cp2025","2084","satisfy","-1267241687","0","0.027","0","0.962013","","","3870","784","2074","218","5952","8814","0","1.41","0.0","","5001","5664","0.445","844","1","21751","217","25452","0.0","23837"
"cpsat_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-02.dzn","ERROR","0.22663689777255058","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-03.dzn","SATISFIED","5.292405873537064","1","0","sat_appear-cp2025","4871","satisfy","1736766380","25","0.089","1","2.23505","","","17314","1960","4854","550","21911","36682","0","3.16","0.0","","16322","21436","1.576","2110","1","52527","523","167514","0.0","57400"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-03.dzn","UNKNOWN","300.6107014231384","347417","0","sat_appear-cp2025","","satisfy","","","299.57","","0.409652","","","1604","252","642","697940","1995","2089","","","","","1944","2236","0.07","","0","","","","51.0","768"
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","SATISFIED","2.2049247808754444","0","0","sat_appear-cp2025","2518","satisfy","-256057586","0","0.031","0","1.02458","","","5315","980","2506","267","7763","11811","0","1.41","0.0","","6490","7466","0.501","1055","1","25916","266","35585","0.0","28436"
"chuffed_fixed_fixedorderrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","SATISFIED","11.059248428791761","14","0","sat_appear-cp2025","4023","satisfy","1851372335","0","0.155","14","3.93849","","","53674","2420","4001","1035","55477","105155","0","4.75","0.0","","38257","59910","4.082","1360","1","79758","1020","382067","0.0","83783"
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-06.dzn","ERROR","0.20837557688355446","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-01.dzn","ERROR","0.2188224196434021","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-02.dzn","SATISFIED","5.678322818130255","43","0","sat_appear-cp2025","3309","satisfy","-72894849","8","0.097","43","2.04314","","","23270","1692","3295","677","25505","46166","0","1.41","0.0","","19093","27342","2.005999","1212","1","45142","625","306133","0.0","48453"
"cpsat_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-03.dzn","ERROR","0.24094205349683762","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-06.dzn","SATISFIED","1.0329281277954578","0","0","sat_appear-cp2025","749","satisfy","46299045","0","0.013","0","0.436069","","","1574","312","742","111","2255","3359","0","2.11","0.0","","2104","2376","0.149","246","1","13282","110","9336","0.0","14033"
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","SATISFIED","11.037415780127048","14","0","sat_appear-cp2025","4023","satisfy","622449252","0","0.155","14","4.01511","","","53674","2420","4001","1035","55477","105155","0","4.75","0.0","","38257","59910","4.07","1360","1","79758","1020","382067","0.0","83783"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-02.dzn","SATISFIED","1.7837549410760403","3","0","sat_appear-cp2025","1331","satisfy","1032423100","0","0.029","3","0.68818","","","5044","680","1324","268","5966","9927","0","1.41","0.0","","5562","6753","0.442","450","1","18288","264","31857","0.0","19621"
"chuffed_fixed_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-05.dzn","SATISFIED","0.8842863105237484","4","0","sat_appear-cp2025","624","satisfy","-120121174","0","0.011","4","0.402163","","","657","196","620","61","1364","1777","0","1.41","0.0","","1095","1216","0.085","211","1","13160","56","8867","0.0","13786"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-05.dzn","SATISFIED","0.6060797907412052","0","0","sat_appear-cp2025","","satisfy","","","0.0","","0.170416","","","10","","50","5","116","159","","","","","5","56","0.0","","1","","","","1.0","91"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","SATISFIED","2.449756044894457","0","0","sat_appear-cp2025","1762","satisfy","380998985","0","0.029","0","0.899917","","","6956","846","1753","322","8279","13910","0","10.68","0.0","","7207","9090","0.746","606","1","18203","321","37680","0.0","19967"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","SATISFIED","1.9094694703817368","0","0","sat_appear-cp2025","1128","satisfy","101022786","0","0.026","0","0.675303","","","5220","605","1121","271","5913","10092","0","3.16","0.0","","5465","6881","0.531","340","1","15146","270","27217","0.0","16276"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-03.dzn","SATISFIED","4.072775118052959","0","0","sat_appear-cp2025","2093","satisfy","1114223223","0","0.057","0","1.4682","","","16716","1210","2081","526","17779","32469","0","2.11","0.0","","14068","19902","1.36","680","1","32556","525","92555","0.0","34651"
"chuffed_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-05.dzn","SATISFIED","0.8983303532004356","0","0","sat_appear-cp2025","537","satisfy","1262273718","0","0.03","0","0.355145","","","1312","257","530","111","1718","2599","0","0.94","0.0","","1835","2028","0.117","158","1","8717","110","7591","0.0","9256"
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-05.dzn","SATISFIED","1.8257026299834251","3","0","sat_appear-cp2025","1128","satisfy","442133332","0","0.027","3","0.68246","","","5736","605","1121","270","6429","11124","0","3.16","0.0","","5723","7397","0.482","340","1","15920","266","38796","0.0","17050"
"chuffed_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-05.dzn","SATISFIED","0.7021266184747219","0","0","sat_appear-cp2025","295","satisfy","1306295196","0","0.009","0","0.246901","","","600","121","294","60","878","1248","0","0.94","0.0","","871","987","0.068","68","1","7773","59","3388","0.0","8070"
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-01.dzn","SATISFIED","33.138511311262846","21","0","sat_appear-cp2025","16370","satisfy","-1405893008","285","1.728","21","12.0382","","","150855","6860","16329","2081","165727","307639","0","10.68","0.0","","102255","164552","11.701","7385","1","262405","1774","4136474","0.0","278777"
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-05.dzn","SATISFIED","0.7492793761193752","0","0","sat_appear-cp2025","422","satisfy","-719393989","0","0.009","0","0.292004","","","581","156","417","59","1012","1352","0","0.19","0.0","","949","1026","0.071","123","1","4216","58","3737","0.0","4640"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-04.dzn","SATISFIED","1.712243176996708","0","0","sat_appear-cp2025","545","satisfy","2131303352","0","0.019","0","0.315844","","","495","196","541","56","1054","1300","0","0.94","0.0","","1014","968","0.804","211","1","702525","55","3509","0.0","703072"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","ERROR","0.2141764685511589","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
