"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-01.dzn","SATISFIED","1.137008160352707","0","0","sat_appear-cp2025","246","satisfy","-1552881618","0","0.015","0","0.230204","","","500","121","244","54","677","964","0","0.63","0.0","","821","847","0.422","68","1","357858","53","2309","0.0","358106"
"cpsat_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-02.dzn","ERROR","0.20497840270400047","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","SATISFIED","2.831145863980055","0","0","sat_appear-cp2025","3034","satisfy","1702020760","0","0.039","0","1.25173","","","7352","1176","3018","322","10305","16138","0","16.02","0.0","","8275","9942","0.736","1266","1","34680","321","46009","0.0","37716"
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-02.dzn","SATISFIED","2.2069730907678604","1","0","sat_appear-cp2025","2517","satisfy","-284648145","0","0.031","1","1.01589","","","5167","980","2507","266","7613","11515","0","1.41","0.0","","6416","7314","0.5","1055","1","24210","264","36025","0.0","26729"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-06.dzn","SATISFIED","3.5045392476022243","","0","sat_appear-cp2025","","satisfy","","","2.9595","","2.26934","","","2886","","8367","1","15454","","","","","1440","","1762","","5410","1","","","","",""
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","SATISFIED","0.7293614186346531","0","0","sat_appear-cp2025","327","satisfy","-1605821447","0","0.01","0","0.274489","","","586","136","320","61","884","1241","0","0.63","0.0","","901","983","0.062","90","1","6301","60","3415","0.0","6630"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-03.dzn","ERROR","0.2284579686820507","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-01.dzn","UNKNOWN","309.34609753265977","","0","sat_appear-cp2025","","satisfy","","","256.1365","","43.7935","","","22538","","146879","1","247428","","","","","10800","","12149","","119131","0","","","","",""
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-03.dzn","SATISFIED","1.0446619354188442","1","0","sat_appear-cp2025","","satisfy","","","0.09","","0.372961","","","1606","252","585","20","1939","1924","","","","","1929","2206","0.07","","1","","","","40.0","663"
"chuffed_fixed_standardrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-03.dzn","SATISFIED","1.3634523190557957","0","0","sat_appear-cp2025","1094","satisfy","-512664271","0","0.017","0","0.54653","","","2561","468","1085","165","3532","5390","0","2.11","0.0","","3256","3740","0.292","369","1","14519","164","15412","0.0","15615"
