"configuration","problem","model","data_file","status","time","flatIntVars","solver_objective","baseMem","eliminatedImplications","flatBoolConstraints","solveTime","trailMem","propagations","evaluatedHalfReifiedConstraints","randomSeed","variables","method","peakMem","nodes","restarts","nogoods","boolVariables","evaluatedReifiedConstraints","objectiveBound","propagators","backjumps","flatIntConstraints","flatTime","nSolutions","run","paths","initTime","peakDepth","eliminatedLinearConstraints","failures","flatBoolVars","openNodes","intVars"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","ALL_SOLUTIONS","1.2387371649965644","485","0","","484","1210","0.170179","","13041","378","","","satisfy","","","","","182","378","0","","","1021","0.280756","1","sat_reverse-cp2025","0","","","","35","1068","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","0.9724608119577169","582","","0.0","242","2052","0.019","0.94","128724","145","1688270862","17070","satisfy","0.0","223","1","100","16483","1820","","3687","4","2373","0.403893","1","sat_reverse-cp2025","0","0.186","114","","100","2595","","585"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","ALL_SOLUTIONS","6.830517205875367","1788","0","","1936","4840","1.02807","","100688","1512","","","satisfy","","","","","138","1512","0","","","3650","0.757193","1","sat_reverse-cp2025","0","","","","36","4158","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","1.0891125700436532","608","","0.0","242","2097","0.014","0.94","30492","152","-1580010517","7410","satisfy","0.0","157","0","37","6795","1910","","3889","5","2519","0.456671","1","sat_reverse-cp2025","0","0.231","114","","37","2720","","613"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","SATISFIED","6.60780978994444","1810","","0.0","968","10850","2.53","3.16","11595680","559","1789603524","385169","satisfy","0.0","5266","6","896","383346","12564","","24419","3664","13721","1.26986","1","sat_reverse-cp2025","0","1.489","508","","896","15241","","1821"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","ALL_SOLUTIONS","3.982943939976394","1134","0","","1210","3025","1.44566","","1328998","945","","","satisfy","","","","","532","945","0","","","2323","0.536383","1","sat_reverse-cp2025","0","","","","1744","2618","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8696655509993434","239","","0.0","121","812","0.011","0.42","2055","74","1437846734","299256","satisfy","0.0","57","0","0","299011","482","","912","0","650","0.241302","1","sat_reverse-cp2025","0","0.276","56","","0","833","","243"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","6.027854487998411","2417","","0.0","1331","16989","0.996","1.41","9279462","764","15284169","67465","satisfy","0.0","3603","5","2163","65031","21416","","41748","793","22863","1.80697","1","sat_reverse-cp2025","0","1.773","559","","2163","25033","","2432"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","2.1188121929299086","1189","","0.0","605","5758","0.023","0.94","87042","349","316692504","14211","satisfy","0.0","296","0","15","13013","5806","","11320","23","6648","0.774339","1","sat_reverse-cp2025","0","0.645","257","","15","7520","","1196"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","304.7560812870506","4168","","","2420","40556","","","","1375","","","satisfy","","","","","","58272","","","","60427","4.13928","0","sat_reverse-cp2025","0","","","","","64643","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","SATISFIED","0.45374122611247003","99","","","","","0.1876","","","102","","","satisfy","","0","","","","84","","","","102","0.187717","1","sat_reverse-cp2025","0","","","","","40","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","4.8495102759916335","2002","","0.0","1089","12541","0.802","24.03","5172182","627","1016278318","65082","satisfy","0.0","2397","4","1400","63066","14804","","28752","450","16031","1.47981","1","sat_reverse-cp2025","0","1.386","461","","1400","17780","","2014"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","4.82496620900929","2002","","0.0","1089","12541","0.857","24.03","5671292","627","-203090913","57963","satisfy","0.0","2513","4","1677","55947","14804","","28752","288","16031","1.41207","1","sat_reverse-cp2025","0","1.378","459","","1677","17780","","2014"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","1.1706918340642005","611","","0.0","242","2114","0.087","0.19","865644","153","451322778","11429","satisfy","0.0","823","0","601","10812","1944","","3955","107","2556","0.442681","1","sat_reverse-cp2025","0","0.243","114","","601","2759","","615"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","SATISFIED","4.799854526063427","1795","","0.0","968","10630","1.108","7.12","6673708","556","-1062862827","335498","satisfy","0.0","3624","2","399","333690","12124","","23548","2597","13246","1.23961","1","sat_reverse-cp2025","0","1.277","607","","399","14778","","1806"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","1.6766272170934826","975","","0.0","484","4396","0.049","1.41","415400","288","2062561159","16017","satisfy","0.0","523","1","283","15032","4224","","8209","11","4948","0.625009","1","sat_reverse-cp2025","0","0.459","213","","283","5632","","983"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","SATISFIED","1.6007907360326499","449","","0.0","242","1831","0.02","2.11","6576","139","-2023330919","781822","satisfy","0.0","107","0","0","781344","1378","","2617","0","1660","0.313342","1","sat_reverse-cp2025","0","0.765","106","","0","2043","","476"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","ALL_SOLUTIONS","5.743516796035692","1607","0","","1694","4235","0.958378","","43800","1323","","","satisfy","","","","","123","1323","0","","","3282","0.714575","1","sat_reverse-cp2025","0","","","","30","3680","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","SATISFIED","0.5073523798491806","133","","0.0","","33","0.006","0.08","1165","9","978088145","5562","satisfy","0.0","11","0","0","5423","66","","345","0","342","0.220687","1","sat_reverse-cp2025","0","0.028","10","","0","185","","137"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","SATISFIED","16.8166434338782","5126","","","3025","57970","4.64","","","","","5289","satisfy","947.0","383","","","","89106","","53213","","89965","5.96419","1","sat_reverse-cp2025","0","4.059999","","","125","95325","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","SATISFIED","0.673119253013283","346","","0.0","121","954","0.005","2.11","5131","72","1071900184","9766","satisfy","0.0","63","0","1","9416","766","","1660","1","1153","0.292488","1","sat_reverse-cp2025","0","0.081","60","","1","1195","","348"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-05.dzn","SATISFIED","0.524410150013864","51","","0.0","","4","0.003","0.08","337","","452638902","68268","satisfy","0.0","4","0","0","68210","8","","106","0","114","0.196148","1","sat_reverse-cp2025","0","0.059","3","","0","50","","56"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","ALL_SOLUTIONS","1.5850861340295523","572","0","","484","1210","0.176377","","13712","378","","","satisfy","","","","","154","378","0","","","1198","0.318558","1","sat_reverse-cp2025","0","","","","4","1138","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","10.978179658064619","3185","","0.0","1815","26867","2.776","24.03","22497443","1035","877475012","105712","satisfy","0.0","5658","6","4039","102506","36604","","71552","825","38346","2.73392","1","sat_reverse-cp2025","0","3.156","763","","4039","41440","","3204"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-02.dzn","SATISFIED","10.996917279902846","20418","","","","","10.1893","","","16972","","","satisfy","","1","","","","4377","","","","34256","5.63692","1","sat_reverse-cp2025","0","","","2745","","3710","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-04.dzn","SATISFIED","1.2326865189243108","899","","0.0","484","4058","0.014","1.41","18506","279","1202958858","11794","satisfy","0.0","219","0","2","10886","3548","","6788","4","4112","0.51786","1","sat_reverse-cp2025","0","0.284","212","","2","4881","","906"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-01.dzn","SATISFIED","5.746912241913378","2417","","0.0","1331","16846","0.133","4.75","877781","764","-938066439","38954","satisfy","0.0","835","1","233","36520","21130","","41176","13","22577","1.79336","1","sat_reverse-cp2025","0","2.176","567","","233","24747","","2432"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","SATISFIED","0.5477888269815594","190","","0.0","121","778","0.006","0.08","1382","68","-279976581","59517","satisfy","0.0","50","0","0","59324","414","","704","0","486","0.214827","1","sat_reverse-cp2025","0","0.059","49","","0","719","","191"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-03.dzn","UNKNOWN","307.8637690350879","6158","","","3630","77300","","","","2056","","","satisfy","","","","","","120340","","","","123394","7.43167","0","sat_reverse-cp2025","0","","","","","129824","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t045-01.dzn","UNKNOWN","305.69885896192864","6986","","","8470","21175","","","","6615","","","satisfy","","","","","","6615","","","","14073","2.53207","0","sat_reverse-cp2025","0","","","","","17536","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-06.dzn","SATISFIED","1.9152197260409594","1012","","0.0","484","4421","0.164","0.94","1782809","284","1843556099","13787","satisfy","0.0","2314","0","352","12767","4274","","8382","1753","5073","0.647744","1","sat_reverse-cp2025","0","0.515","208","","352","5700","","1018"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-03.dzn","UNKNOWN","302.90965545293875","2605","","","1452","19098","","","","831","","","satisfy","","","","","","24492","","","","25998","2.051769","0","sat_reverse-cp2025","0","","","","","28403","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","UNKNOWN","310.3060221739579","7877","","","4840","118786","","","","2735","","","satisfy","","","","","","191892","","","","195252","11.6138","0","sat_reverse-cp2025","0","","","","","204267","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","ALL_SOLUTIONS","2.3805938090663403","771","0","","726","1815","0.472142","","86818","567","","","satisfy","","","","","98","567","0","","","1596","0.415898","1","sat_reverse-cp2025","0","","","","54","1644","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","SATISFIED","1.1669698348268867","749","","0.0","363","3051","0.026","0.63","155450","213","-1773845719","13096","satisfy","0.0","425","0","75","12340","2676","","5234","186","3250","0.495613","1","sat_reverse-cp2025","0","0.236","163","","75","3736","","754"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","ALL_SOLUTIONS","1.9075134377926588","718","0","","726","1815","0.282912","","20430","567","","","satisfy","","","","","245","567","0","","","1484","0.382154","1","sat_reverse-cp2025","0","","","","24","1598","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","1.1431053660344332","597","","","242","2114","0.14","","","","","759","satisfy","53.0","24","","","","2097","","2288","","2542","0.423135","1","sat_reverse-cp2025","0","0.1","","","1","2759","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","302.8147645010613","2609","","","1452","20791","","","","832","","","satisfy","","","","","","27878","","","","29399","2.22906","0","sat_reverse-cp2025","0","","","","","31800","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","2.4558544310275465","1186","","","605","5857","0.45","","","","","1345","satisfy","171.0","247","","","","6360","","5381","","6856","0.761085","1","sat_reverse-cp2025","0","0.36","","","104","7743","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-06.dzn","SATISFIED","9.677306994097307","18397","","","","","8.9203","","","15338","","","satisfy","","1","","","","3940","","","","30794","4.92106","1","sat_reverse-cp2025","0","","","2440","","3322","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","1.1787935781758279","2452","","","","","0.8607","","","1683","","","satisfy","","0","","","","966","","","","4442","0.735109","1","sat_reverse-cp2025","0","","","610","","842","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","SATISFIED","10.064497709041461","3152","","","1815","25972","2.52","","","","","3302","satisfy","796.0","139","","","","35849","","23332","","36513","2.61583","1","sat_reverse-cp2025","0","2.13","","","37","39640","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","SATISFIED","4.725600474048406","1203","","0.0","605","5890","2.537","0.94","27206053","356","-584551978","28628","satisfy","0.0","14538","0","11217","27416","6070","","11806","3054","6939","0.823119","1","sat_reverse-cp2025","0","0.674","266","","11217","7809","","1210"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","SATISFIED","3.8588344280142337","1412","","0.0","726","7464","1.004999","16.02","3984396","423","411910388","210173","satisfy","0.0","4705","6","888","208750","8076","","15701","3344","9050","0.983379","1","sat_reverse-cp2025","0","0.961","404","","888","10129","","1421"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","ALL_SOLUTIONS","8.471439762972295","1975","0","","2178","5445","1.44596","","492256","1701","","","satisfy","","","","","1122","1701","0","","","4013","0.821018","1","sat_reverse-cp2025","0","","","","1546","4654","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","SATISFIED","1.7583028068765998","1011","","0.0","484","4461","0.013","0.94","29141","288","-1151719773","10429","satisfy","0.0","234","0","2","9410","4354","","8517","11","5149","0.683525","1","sat_reverse-cp2025","0","0.483","220","","2","5788","","1017"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","ALL_SOLUTIONS","0.98484828020446","465","0","","484","1210","0.161035","","12800","378","","","satisfy","","","","","147","378","0","","","979","0.270958","1","sat_reverse-cp2025","0","","","","0","1048","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","SATISFIED","1.9915933378506452","1189","","0.0","605","5836","0.058","7.12","416187","349","-1503852142","15868","satisfy","0.0","450","0","164","14670","5962","","11632","26","6804","0.768106","1","sat_reverse-cp2025","0","0.554","259","","164","7676","","1196"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-03.dzn","SATISFIED","54.13011138886213","4168","","0.0","2420","40874","40.561","4.75","249553751","1375","945513102","196309","satisfy","0.0","53863","12","40421","192114","58908","","115479","12227","61063","4.09023","1","sat_reverse-cp2025","0","5.73","1018","","40421","65279","","4193"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","UNKNOWN","308.11195568414405","6158","","","3630","78217","","","","2055","","","satisfy","","","","","","122174","","","","125227","8.05796","0","sat_reverse-cp2025","0","","","","","131657","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","2.3005816868972033","1188","","0.0","605","5821","0.21","10.68","1407334","353","-2051450284","18173","satisfy","0.0","1362","0","377","16976","5932","","11531","726","6770","0.778072","1","sat_reverse-cp2025","0","0.651","258","","377","7654","","1195"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.7143210270442069","373","","0.0","121","935","0.01","0.19","23375","77","-2097494865","9189","satisfy","0.0","85","0","21","8811","728","","1616","0","1174","0.30606","1","sat_reverse-cp2025","0","0.096","63","","21","1186","","376"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","ALL_SOLUTIONS","3.899312908994034","1182","0","","1210","3025","0.58056","","105634","945","","","satisfy","","","","","403","945","0","","","2429","0.552866","1","sat_reverse-cp2025","0","","","","50","2650","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","UNKNOWN","302.32717423094437","1988","","","1089","12465","","","","628","","","satisfy","","","","","","14652","","","","15849","1.44412","0","sat_reverse-cp2025","0","","","","","17621","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","ALL_SOLUTIONS","1.8229547180235386","744","0","","726","1815","0.269983","","34528","567","","","satisfy","","","","","238","567","0","","","1542","0.409905","1","sat_reverse-cp2025","0","","","","75","1618","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","SATISFIED","1.3313861901406199","803","","0.0","363","3284","0.051","2.11","345144","216","-2114963549","24174","satisfy","0.0","613","0","220","23363","3142","","6247","231","3834","0.520244","1","sat_reverse-cp2025","0","0.306","161","","220","4251","","809"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","0.7191332359798253","472","","0.0","242","1751","0.009","0.94","6215","136","-2079011116","8583","satisfy","0.0","108","0","0","8107","1218","","2344","0","1545","0.318025","1","sat_reverse-cp2025","0","0.084","107","","0","1894","","474"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","ALL_SOLUTIONS","14.002416366012767","2593","0","","2904","7260","3.5841","","1826689","2268","","","satisfy","","","","","2510","2268","0","","","5264","0.99495","1","sat_reverse-cp2025","0","","","","8186","6174","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","SATISFIED","16.92234389204532","4119","","","2420","41228","4.32","","","","","4259","satisfy","1282.0","178","","","","60992","","37465","","61706","4.17295","1","sat_reverse-cp2025","0","3.79","","","49","65980","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-02.dzn","ALL_SOLUTIONS","0.4831285350956023","32","0","","","","0.021537","","1","","","","satisfy","","","","","1","","0","","","77","0.167179","1","sat_reverse-cp2025","0","","","","0","28","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","2.3042275130283087","1188","","0.0","605","5821","0.217","10.68","1437326","353","-1450002918","18134","satisfy","0.0","1394","2","377","16937","5932","","11531","726","6770","0.772023","1","sat_reverse-cp2025","0","0.644","258","","377","7654","","1195"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","SATISFIED","66.06664662715048","7877","","0.0","4840","118786","29.044","54.07","134509966","2735","1450465320","397187","satisfy","0.0","18698","0","10086","389269","191892","","378365","6600","195252","11.7794","1","sat_reverse-cp2025","0","15.473","2011","","10086","204267","","7916"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","SATISFIED","5.879700735909864","1826","","0.0","968","11151","2.306","7.12","12907935","559","1242801683","43486","satisfy","0.0","6451","4","1227","41647","13166","","25651","4749","14359","1.35189","1","sat_reverse-cp2025","0","1.17","409","","1227","15853","","1837"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","ALL_SOLUTIONS","6.138346296036616","1592","0","","1694","4235","3.10425","","437558","2135","","","satisfy","","","","","941","511","0","","","3064","0.713256","1","sat_reverse-cp2025","0","","","","36","3583","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-01.dzn","SATISFIED","1.2848383481614292","759","","0.0","363","3144","0.045","0.42","453922","210","-2006944644","11530","satisfy","0.0","908","1","108","10765","2862","","5637","630","3458","0.472407","1","sat_reverse-cp2025","0","0.324","156","","108","3925","","763"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-03.dzn","SATISFIED","2.9059920110739768","1544","","0.0","847","9015","0.275","10.68","2140215","483","-285049742","38041","satisfy","0.0","1533","0","827","36486","10036","","19483","341","10965","1.02607","1","sat_reverse-cp2025","0","0.799","364","","827","12336","","1553"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","4.047944765072316","1203","","0.0","605","5857","1.8","3.16","16717080","356","14873238","37200","satisfy","0.0","8870","8","8281","35988","6004","","11674","325","6873","0.803036","1","sat_reverse-cp2025","0","0.716","263","","8281","7743","","1210"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","UNKNOWN","304.34814345487393","5141","","","3025","58976","","","","1716","","","satisfy","","","","","","89402","","","","91953","6.06511","0","sat_reverse-cp2025","0","","","","","97311","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-03.dzn","SATISFIED","43.47929405118339","2002","","0.0","1089","13569","38.599","4.75","70362398","627","-415028680","831013","satisfy","0.0","33364","31","8078","828997","16860","","32864","23436","18087","1.46385","1","sat_reverse-cp2025","0","1.786","553","","8078","19836","","2014"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","32.573719680076465","3185","","0.0","1815","26867","24.384","24.03","165102014","1035","-1229259563","119493","satisfy","0.0","45048","0","31403","116287","36604","","71552","12882","38346","2.75112","1","sat_reverse-cp2025","0","3.122","762","","31403","41440","","3204"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","1.2679859541822225","2888","","","","","0.9519","","","2124","","","satisfy","","0","","","","1150","","","","5021","0.794102","1","sat_reverse-cp2025","0","","","610","","920","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","ALL_SOLUTIONS","1.2903349560219795","520","0","","484","1210","0.283414","","24161","378","","","satisfy","","","","","61","378","0","","","1089","0.312223","1","sat_reverse-cp2025","0","","","","30","1102","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","0.893882276955992","524","","0.0","242","1870","0.068","2.11","454420","146","-1109734217","11073","satisfy","0.0","1559","2","499","10542","1456","","2871","934","1888","0.380853","1","sat_reverse-cp2025","0","0.112","112","","499","2190","","529"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","ALL_SOLUTIONS","36.574939579935744","5138","0","","6050","15125","21.5589","","10124980","4725","","","satisfy","","","","","3861","4725","0","","","10376","1.86433","1","sat_reverse-cp2025","0","","","","10425","12644","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","ALL_SOLUTIONS","0.9906616939697415","345","0","","242","605","0.096139","","6371","189","","","satisfy","","","","","80","189","0","","","740","0.260841","1","sat_reverse-cp2025","0","","","","0","614","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","ALL_SOLUTIONS","1.5647168681025505","676","0","","726","1815","0.261415","","26876","567","","","satisfy","","","","","228","567","0","","","1400","0.386741","1","sat_reverse-cp2025","0","","","","44","1566","",""
