"configuration","problem","model","data_file","status","time","flatIntVars","solver_objective","baseMem","eliminatedImplications","flatBoolConstraints","solveTime","trailMem","propagations","evaluatedHalfReifiedConstraints","randomSeed","variables","method","peakMem","nodes","restarts","nogoods","boolVariables","evaluatedReifiedConstraints","objectiveBound","propagators","backjumps","flatIntConstraints","flatTime","nSolutions","run","paths","initTime","peakDepth","eliminatedLinearConstraints","failures","flatBoolVars","openNodes","intVars"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","ALL_SOLUTIONS","3.9032876389101148","1180","0","","1210","3025","0.660541","","193297","945","","","satisfy","","","","","469","945","0","","","2421","0.568447","1","sat_reverse-cp2025","0","","","","425","2654","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-02.dzn","SATISFIED","0.5121498729567975","52","","0.0","","3","0.003","0.05","325","","1362792397","64494","satisfy","0.0","4","0","0","64438","6","","104","0","113","0.189947","1","sat_reverse-cp2025","0","0.056","3","","0","46","","54"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-05.dzn","SATISFIED","2.4592507008928806","1203","","0.0","605","6083","0.128","3.16","1486358","355","-465680160","16902","satisfy","0.0","891","0","580","15690","6456","","12578","46","7324","0.837057","1","sat_reverse-cp2025","0","0.749","264","","580","8194","","1210"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-06.dzn","SATISFIED","2.617220050888136","1219","","0.0","605","5962","0.409","2.11","4687826","355","102563905","28423","satisfy","0.0","2815","5","2519","27195","6214","","12122","33","7118","0.841946","1","sat_reverse-cp2025","0","0.658","262","","2519","7962","","1226"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-01.dzn","SATISFIED","1.4718511051032692","997","","0.0","484","4486","0.016","3.16","62570","281","-1699223030","13107","satisfy","0.0","237","0","17","12102","4404","","8651","8","5172","0.602267","1","sat_reverse-cp2025","0","0.366","211","","17","5813","","1003"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-04.dzn","ALL_SOLUTIONS","3.843805367127061","1347","0","","1452","3630","0.608307","","39883","1134","","","satisfy","","","","","439","1134","0","","","2751","0.609464","1","sat_reverse-cp2025","0","","","","3","3124","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-02.dzn","SATISFIED","5.804133808938786","12208","","","","","5.2192","","","9912","","","satisfy","","1","","","","3120","","","","20624","3.5308","1","sat_reverse-cp2025","0","","","1830","","2567","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-04.dzn","SATISFIED","2.5476164501160383","1339","","","726","7271","0.53","","","","","1458","satisfy","138.0","54","","","","8108","","6444","","8530","0.849705","1","sat_reverse-cp2025","0","0.4","","","11","9690","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","SATISFIED","3.51871967012994","8880","","","","","3.0386","","","7004","","","satisfy","","1","","","","2542","","","","15278","2.39672","1","sat_reverse-cp2025","0","","","1525","","2130","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","SATISFIED","5.161559925181791","1810","","0.0","968","11447","1.235","10.68","8890979","559","1854235483","81943","satisfy","0.0","3209","5","2242","80120","13758","","26803","436","14911","1.32327","1","sat_reverse-cp2025","0","1.416","415","","2242","16429","","1821"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","5.466433823108673","1188","","0.0","605","5821","3.392","10.68","22432617","353","1171221624","28826","satisfy","0.0","13160","6","4390","27629","5932","","11531","8444","6770","0.767964","1","sat_reverse-cp2025","0","0.64","256","","4390","7654","","1195"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","SATISFIED","10.16951200319454","2002","","0.0","1089","13099","5.53","10.68","17406302","628","526812806","756802","satisfy","0.0","6239","6","1095","754786","15920","","30988","4335","17152","1.43889","1","sat_reverse-cp2025","0","1.67","604","","1095","18903","","2014"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","SATISFIED","0.6844572769477963","346","","0.0","121","954","0.007","2.11","4883","72","1149619774","9747","satisfy","0.0","63","0","1","9397","766","","1660","1","1153","0.296307","1","sat_reverse-cp2025","0","0.081","60","","1","1195","","348"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","SATISFIED","1.068750758189708","276","","0.0","121","839","0.014","0.94","2734","71","1401248302","445164","satisfy","0.0","60","0","0","444882","536","","1092","0","782","0.258181","1","sat_reverse-cp2025","0","0.404","59","","0","910","","280"
