"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"gurobi_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-06.dzn","UNSATISFIABLE","1.5126218379009515","1206","0","minimize","5853","0.0152","","","0","","","","","","2606","","","","658","","","","","","","","0","","","1.07928","","964","endtimes_reverse-cp2025","1e+100","","","3406"
"chuffed_fixed_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-01.dzn","UNSATISFIABLE","12.678146271966398","549","0","minimize","825","12.025","180961","1083683809","0","869","0","1140","22300027","0.061","85","0.0","0.63","0.0","","40134","","6021","","","-1","311","186148","40447","9","0.285593","0.0","942","endtimes_reverse-cp2025","","131","180961","305"
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","OPTIMAL_SOLUTION","0.5893077780492604","189","0","minimize","419","0.061977","0","","1","605","","","292","","189","","","","","79","136","","","","136","","","","","0.204775","","494","endtimes_reverse-cp2025","136","242","","190"
"chuffed_free_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-02.dzn","OPTIMAL_SOLUTION","0.528794578043744","36","0","minimize","178","0.006","2","-1159893980","1","18","1","193","1034","0.028","3","0.0","0.12","0.0","","25043","2598","3","","","2598","76","9","25121","5","0.225989","0.006","105","endtimes_reverse-cp2025","","","2","71"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","ERROR","3.5564309540204704","980","0","minimize","2739","","","","0","3215","","","","","1080","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.637107","","2773","endtimes_reverse-cp2025","","1310","","1363"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.3146286190021783","378","0","minimize","1022","0.183111","43","","1","1210","","","14900","","378","","","","","182","3969","","","","3969","","","","","0.309293","","1068","endtimes_reverse-cp2025","3969","484","","486"
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","UNSATISFIABLE","3.864018001127988","1020","0","minimize","3108","0.06028","0","","0","3475","","","0","","1270","","","","","0","","","","","0","","","","","0.771031","","2959","endtimes_reverse-cp2025","0","1435","","1616"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","OPTIMAL_SOLUTION","1.0344375239219517","1820","0","minimize","2374","0.033","107","1989492545","1","2052","2","3689","194825","0.189","145","0.0","0.94","0.0","","19446","16994","12","","","16994","586","236","20034","115","0.44152","0.024","2595","endtimes_reverse-cp2025","","242","107","583"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","OPTIMAL_SOLUTION","92.98071679309942","1512","0","minimize","3651","87.1907","26128","","14","4840","","","14986136","","1512","","","","","1636","47201","","","","47201","","","","","0.746712","","4158","endtimes_reverse-cp2025","47201","1936","","1789"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","OPTIMAL_SOLUTION","5.818821292137727","1910","0","minimize","2520","4.605","995","2063019993","129","2097","135","3891","6772685","0.232","152","0.0","0.94","0.0","","191784","18968","1093","","","18968","614","16806","192400","186","0.490645","4.347","2720","endtimes_reverse-cp2025","","242","995","609"
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-03.dzn","OPTIMAL_SOLUTION","0.40398440416902304","","0","minimize","36","0.0","0","","1","","","51","","0.0","","0.0","","","","","295","","","","295","","0","30","","0.151548","","14","endtimes_reverse-cp2025","295","","","17"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","SATISFIED","302.220728721004","12564","0","minimize","13722","","","","6","10850","","","","","559","","","","","","44755","","","","","","","","","1.27559","","15241","endtimes_reverse-cp2025","","968","","1811"
"cpsat_fixed_standard_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-06.dzn","UNSATISFIABLE","1.4282588949427009","87","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.108","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-06.dzn","SATISFIED","301.0343017699197","1576","0","minimize","4320","80.309","149913","","6","5256","","","87211083","","1816","","","","","2261","56004","","","","56004","","","","","0.951479","","4466","endtimes_reverse-cp2025","53287","2136","","2228"
"gurobi_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-02.dzn","UNSATISFIABLE","9.53567487001419","7042","0","minimize","45923","0.2151","","","0","","","","","","18908","","","","3348","","","","","","","","0","","","7.51576","","3949","endtimes_reverse-cp2025","1e+100","","","26008"
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","UNSATISFIABLE","1.8307696781121194","612","0","minimize","1999","0.044229","0","","0","2085","","","0","","762","","","","","0","","","","","0","","","","","0.543189","","1829","endtimes_reverse-cp2025","0","861","","1031"
"chuffed_fixed_fixedorderrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","301.09880656795576","4276","0","minimize","5368","299.229","487121","1652496829","1","4624","19","8644","1238291445","0.49","420","0.0","1.41","0.0","","54729","27724","3251","","","27724","1286","490955","56017","212","0.762199","0.06","5822","endtimes_reverse-cp2025","","564","487121","1277"
"chuffed_fixed_standardrestart_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","UNKNOWN","302.2848644789774","14154","0","minimize","15786","","","","0","11941","","","","","735","","","","","","","","","","","","","","","1.48062","","16957","endtimes_reverse-cp2025","","1088","","2190"
"chuffed_fixed_priority_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-01.dzn","UNSATISFIABLE","0.5634494689293206","15","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.313145","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","UNSATISFIABLE","0.740674733184278","16","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.487462","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","UNSATISFIABLE","37.11343559296802","1252","0","minimize","1645","36.303","326032","-465877050","0","1805","0","2469","218619802","0.093","158","0.0","2.11","0.0","","63029","","810","","","-1","528","326840","63559","4","0.351802","0.0","1950","endtimes_reverse-cp2025","","257","326032","523"
"chuffed_fixed_priority_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-05.dzn","UNSATISFIABLE","2.3236212781630456","109","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.91483","","","endtimes_reverse-cp2025","","","",""
"cpsat_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","ERROR","2.710011319955811","816","0","minimize","2586","","","","0","2780","","","","","1016","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.643234","","2398","endtimes_reverse-cp2025","","1148","","1337"
"cpotimizer_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","UNSATISFIABLE","1.3748008299153298","2294","0","minimize","2935","0.16","14","","0","2333","","2881","","0.15","","55.0","","","","","","","","","","","111","1035","","0.581037","","3052","endtimes_reverse-cp2025","18329","262","","821"
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-06.dzn","UNKNOWN","301.53820651280694","8864","0","minimize","9598","298.97","678","","0","7802","","7385","","0.55","","217.0","","","","","","","","","","","1444","1751","","1.0235","","10542","endtimes_reverse-cp2025","37221","756","","1626"
"chuffed_fixed_fixedorderrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-01.dzn","UNSATISFIABLE","1.531545002013445","71","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.20341","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","OPTIMAL_SOLUTION","7.696543203899637","945","0","minimize","2324","5.10259","7819","","1","3025","","","6028455","","945","","","","","643","26729","","","","26729","","","","","0.551828","","2618","endtimes_reverse-cp2025","26729","1210","","1135"
"chuffed_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-01.dzn","UNKNOWN","300.9996946230531","2998","0","minimize","4035","299.332","170278","-77075993","0","3451","0","6307","393787299","0.357","364","0.0","10.68","0.0","","318311","","283","","","-1","1116","170451","319429","4","0.660824","0.0","4221","endtimes_reverse-cp2025","","458","170278","1111"
"chuffed_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-02.dzn","OPTIMAL_SOLUTION","0.5505035710521042","8","0","minimize","120","0.005","0","-386670890","1","4","1","114","354","0.06","","0.0","0.05","0.0","","66925","1330","0","","","1330","57","4","66984","4","0.205952","0.005","52","endtimes_reverse-cp2025","","","0","55"
"chuffed_fixed_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-06.dzn","OPTIMAL_SOLUTION","1.3181057679466903","1094","0","minimize","1347","0.044","16","-571490555","1","1763","1","2025","20758","0.494","180","0.0","3.16","0.0","","542215","1006","1","","","1006","471","118","542688","101","0.328437","0.023","1728","endtimes_reverse-cp2025","","272","16","470"
"chuffed_fixed_standardrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","SATISFIED","302.19364623283036","12228","0","minimize","14035","","","","3","11086","","","","","820","","","","","","40009","","","","","","","","","1.44728","","15104","endtimes_reverse-cp2025","","1128","","2364"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.9223489500582218","482","0","minimize","651","0.013","0","-50503579","1","812","1","914","2070","0.277","74","0.0","0.42","0.0","","299019","1635","0","","","1635","244","57","299265","57","0.263315","0.012","833","endtimes_reverse-cp2025","","121","0","240"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","302.48445580503903","21416","0","minimize","22864","","","","1","16989","","","","","764","","","","","","65446","","","","","","","","","1.79156","","25033","endtimes_reverse-cp2025","","1331","","2418"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","OPTIMAL_SOLUTION","3.005208409158513","5806","0","minimize","6649","0.866","449","567401824","5","5758","5","11322","3447153","0.649","349","0.0","1.41","0.0","","109801","19454","108","","","19454","1197","1840","111000","258","0.788292","0.611","7520","endtimes_reverse-cp2025","","605","449","1190"
"cpsat_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","UNSATISFIABLE","1.7378793652169406","125","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.3726","","","endtimes_reverse-cp2025","","","",""
"gurobi_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-01.dzn","UNSATISFIABLE","1.0775349361356348","799","0","minimize","3219","0.0084","","","0","","","","","","1232","","","","377","","","","","","","","0","","","0.703975","","506","endtimes_reverse-cp2025","1e+100","","","1792"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.80123099684715","58272","0","minimize","60428","","","","0","40556","","","","","1375","","","","","","","","","","","","","","","4.1372","","64643","endtimes_reverse-cp2025","","2420","","4169"
"chuffed_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-06.dzn","UNSATISFIABLE","125.19966096407734","1890","0","minimize","2482","124.158","384130","-338220063","0","2161","0","3882","658356809","0.144","187","0.0","4.75","0.0","","152033","","912","","","-1","646","385036","152681","4","0.461588","0.0","2671","endtimes_reverse-cp2025","","272","384130","638"
"chuffed_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","UNKNOWN","300.784280405147","2977","0","minimize","3961","299.363","924291","-798530818","0","3464","0","6208","486597484","0.287","376","0.0","2.11","0.0","","76279","","439","","","-1","1102","924733","77383","4","0.628205","0.0","4171","endtimes_reverse-cp2025","","468","924291","1095"
"cpsat_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-05.dzn","OPTIMAL_SOLUTION","1.8718182588927448","394","0","minimize","1311","0.474902","64","","2","1314","","","99413","","454","","","","","115","5825","","","","5825","","","","","0.439576","","1218","endtimes_reverse-cp2025","5825","534","","660"
"chuffed_fixed_priority_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-04.dzn","UNSATISFIABLE","1.9152684030123055","110","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.53562","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorderrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-03.dzn","UNKNOWN","302.62116729305126","17413","0","minimize","19937","","","","0","14633","","","","","1122","","","","","","","","","","","","","","","1.90322","","20779","endtimes_reverse-cp2025","","1404","","3062"
"chuffed_fixed_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","UNKNOWN","301.101126142079","4426","0","minimize","5380","299.27","729468","-2112527715","0","4645","0","8866","1167518117","0.434","367","0.0","10.68","0.0","","303515","","17147","","","-1","1168","742788","304685","10","0.730783","0.0","5883","endtimes_reverse-cp2025","","544","729468","1162"
"gurobi_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-01.dzn","UNSATISFIABLE","5.217917314032093","5569","0","satisfy","","","","","","","","","","","9660","","","","","","","","","","","","","","","4.45496","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-03.dzn","SATISFIED","301.8405063948594","10531","0","minimize","12260","298.66","107986","1128967147","7","9616","7","21058","729285104","0.879","722","0.0","4.75","0.0","","211655","37717","253858","","","37717","2153","364385","213810","362","1.33374","43.208","13123","endtimes_reverse-cp2025","","987","107986","2141"
"chuffed_fixed_standardrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","UNKNOWN","300.6897087569814","1947","0","minimize","2818","299.431","406073","308428639","0","2277","17","4246","725448847","0.208","244","0.0","4.75","0.0","","177383","","205521","","","-1","842","611675","178227","8","0.561256","0.0","2860","endtimes_reverse-cp2025","","307","406073","836"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.4690794919151813","84","0","minimize","103","0.1982","","","1","","","","","","102","","","","","","511","","","","511","","0","","","0.195171","","40","endtimes_reverse-cp2025","511","","","100"
"chuffed_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","UNKNOWN","300.7854685038328","2042","0","minimize","2805","299.464","189782","2039309623","0","2237","0","4295","210989950","0.254","197","0.0","7.12","0.0","","247760","","359519","","","-1","726","549313","248488","16","0.527438","0.0","2909","endtimes_reverse-cp2025","","272","189782","722"
"gurobi_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","UNSATISFIABLE","3.6520770019851625","2773","0","minimize","16874","0.0541","","","0","","","","","","7829","","","","1645","","","","","","","","0","","","2.80005","","2234","endtimes_reverse-cp2025","1e+100","","","9858"
"cpsat_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","UNSATISFIABLE","1.5071086829993874","100","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.1768","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-05.dzn","UNKNOWN","302.11685116402805","17365","0","minimize","18094","298.49","11655","","0","13178","","12264","","0.99","","330.0","","","","","","","","","","","24094","2121","","1.51293","","19499","endtimes_reverse-cp2025","45864","1008","","2049"
"gurobi_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-05.dzn","OPTIMAL_SOLUTION","4.164966783020645","2805","0","minimize","15288","3.6928","","","1","","","","","","5697","","","","1410","","13235","","","","13235","","1","","","2.36502","","1731","endtimes_reverse-cp2025","13235","","","8428"
"chuffed_fixed_standard_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","UNSATISFIABLE","1.0747399639803916","43","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.78259","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_standardrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","UNSATISFIABLE","2.0654763421043754","112","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.66748","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","UNKNOWN","300.52936438214965","2609","0","minimize","2940","299.5","468543","","0","3014","","2814","","0.14","","55.0","","","","","","","","","","","944973","893","","0.494983","","3440","endtimes_reverse-cp2025","8345","378","","838"
"chuffed_fixed_standardrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","UNSATISFIABLE","0.94518799521029","32","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.664898","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","302.19812138495035","14804","0","minimize","16032","","","","2","12541","","","","","627","","","","","","70285","","","","","","","","","1.4364","","17780","endtimes_reverse-cp2025","","1089","","2003"
"cpsat_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-01.dzn","ERROR","0.9850779259577394","204","0","minimize","869","","","","0","695","","","","","254","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.347572","","709","endtimes_reverse-cp2025","","287","","436"
"cpsat_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-02.dzn","OPTIMAL_SOLUTION","0.5481849580537528","","0","minimize","131","0.02896","0","","1","","","","0","","","","","","","0","1330","","","","1330","","","","","0.190384","","44","endtimes_reverse-cp2025","1330","","","53"
"chuffed_free_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-03.dzn","OPTIMAL_SOLUTION","132.90637153713033","15155","0","minimize","17119","128.139","13571","1177132731","305","13171","352","30141","175513759","1.561","921","0.0","4.75","0.0","","1052826","47632","26633","","","47632","2638","178601","1055466","624","1.57469","127.985","18356","endtimes_reverse-cp2025","","1269","13571","2623"
"cpsat_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","UNSATISFIABLE","4.214051657123491","1176","0","minimize","3239","0.05711","0","","0","3858","","","0","","1296","","","","","0","","","","","0","","","","","0.720695","","3320","endtimes_reverse-cp2025","0","1572","","1621"
"chuffed_fixed_priority_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","UNKNOWN","300.5597221988719","1448","0","minimize","2107","299.558","1171688","-763569158","0","2041","0","3082","546360635","0.145","249","0.0","3.16","0.0","","106895","","1163","","","-1","737","1172799","107634","7","0.433947","0.0","2241","endtimes_reverse-cp2025","","312","1171688","731"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","302.2342020191718","14804","0","minimize","16032","","","","1","12541","","","","","627","","","","","","69255","","","","","","","","","1.40451","","17780","endtimes_reverse-cp2025","","1089","","2003"
"chuffed_free_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","UNSATISFIABLE","97.55534017714672","1688","0","minimize","2367","96.349","24109","1030746773","0","2060","73","3547","370140261","0.222","189","0.0","3.16","0.0","","312470","","45668","","","-1","687","71317","313159","785","0.482922","0.0","2505","endtimes_reverse-cp2025","","272","24109","682"
"chuffed_fixed_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","UNSATISFIABLE","0.7862536481115967","28","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.513603","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-04.dzn","OPTIMAL_SOLUTION","0.4699140749871731","482","0","minimize","486","0.02","4","","1","778","","545","","0.01","","4.0","","","","","205","","","","205","","1","187","","0.196318","","719","endtimes_reverse-cp2025","205","121","","190"
"chuffed_free_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-04.dzn","OPTIMAL_SOLUTION","10.44851744407788","11444","0","minimize","13049","7.472","811","1093787600","155","10694","161","22720","17484979","0.794","811","0.0","7.12","0.0","","155569","20225","1023","","","20225","2272","64049","157843","418","1.32994","7.229","14207","endtimes_reverse-cp2025","","1128","811","2258"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","OPTIMAL_SOLUTION","49.12566744303331","1944","0","minimize","2557","47.929","52847","1241031576","4","2114","4","3957","120887676","0.243","153","0.0","2.11","0.0","","126943","13703","4572","","","13703","616","57864","127561","115","0.489473","10.786","2759","endtimes_reverse-cp2025","","242","52847","612"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","OPTIMAL_SOLUTION","211.2379522928968","12124","0","minimize","13247","207.249","36667","466279989","103","10630","219","23550","312882540","1.252","556","0.0","7.12","0.0","","1284162","39911","90435","","","39911","1807","171694","1285971","477","1.21137","176.631","14778","endtimes_reverse-cp2025","","968","36667","1796"
"chuffed_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-06.dzn","OPTIMAL_SOLUTION","0.672577102901414","22","0","minimize","216","0.008","0","-1122533351","1","11","1","212","654","0.163","","0.0","0.19","0.0","","157818","2740","0","","","2740","125","5","157945","5","0.208984","0.008","100","endtimes_reverse-cp2025","","","0","94"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","301.042071582051","4224","0","minimize","4949","299.319","758971","1749472335","1","4396","20","8211","1390555360","0.463","288","0.0","1.41","0.0","","46151","27086","7442","","","27086","984","767065","47137","214","0.673103","0.058","5632","endtimes_reverse-cp2025","","484","758971","976"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","OPTIMAL_SOLUTION","180.59809944592416","1378","0","minimize","1661","178.923","34356","-1722380319","1","1831","1","2619","74290586","0.788","139","0.0","2.11","0.0","","782668","2537","33123","","","2537","477","67586","783147","107","0.343503","0.021","2043","endtimes_reverse-cp2025","","242","34356","450"
"chuffed_fixed_priority_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-06.dzn","UNSATISFIABLE","11.608631259063259","569","0","minimize","817","10.495","126511","-1585080722","0","879","0","1153","23910816","0.413","82","0.0","0.42","0.0","","435790","","615","","","-1","294","127124","436086","7","0.278517","0.0","943","endtimes_reverse-cp2025","","131","126511","289"
