"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"cpsat_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-05.dzn","OPTIMAL_SOLUTION","0.4977012558374554","","0","minimize","88","0.023775","0","","1","","","","3","","","","","","","2","580","","","","580","","","","","0.171649","","30","endtimes_reverse-cp2025","580","","","36"
"cpsat_fixed_standard_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","UNSATISFIABLE","0.9375650030560791","43","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.660505","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","UNSATISFIABLE","5.48443114804104","1428","0","minimize","4291","0.076312","0","","0","4865","","","0","","1778","","","","","0","","","","","0","","","","","0.957012","","4113","endtimes_reverse-cp2025","0","2009","","2240"
"chuffed_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-02.dzn","OPTIMAL_SOLUTION","1.97248321515508","2024","0","minimize","2921","0.592","325","-347297892","2","2255","2","4392","1894085","0.287","217","0.0","1.41","0.0","","82844","20109","88","","","20109","826","646","83672","118","0.59932","0.031","2971","endtimes_reverse-cp2025","","282","325","821"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-06.dzn","OPTIMAL_SOLUTION","8.304698820924386","1134","0","minimize","2900","4.20861","1553","","103","3630","","","1657393","","1134","","","","","1025","37830","","","","37830","","","","","0.642595","","3186","endtimes_reverse-cp2025","37830","1452","","1417"
"chuffed_fixed_standardrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","OPTIMAL_SOLUTION","1.97523028915748","4406","0","minimize","5579","0.05","6","1708551442","2","4689","2","8968","78456","0.514","420","0.0","0.94","0.0","","15002","23766","18","","","23766","1327","464","16331","221","0.808946","0.044","5990","endtimes_reverse-cp2025","","564","6","1321"
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-06.dzn","UNSATISFIABLE","0.8715227709617466","18","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.601752","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-02.dzn","UNSATISFIABLE","2.6840574010275304","816","0","minimize","2587","0.052563","0","","0","2780","","","0","","1016","","","","","0","","","","","0","","","","","0.659617","","2398","endtimes_reverse-cp2025","0","1148","","1340"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-05.dzn","OPTIMAL_SOLUTION","1.0667669319082052","715","0","minimize","2726","0.7297","","","3","","","","","","1273","","","","305","","5993","","","","5993","","1","","","0.635434","","536","endtimes_reverse-cp2025","5993","","","1647"
"chuffed_fixed_standardrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","OPTIMAL_SOLUTION","0.4262907588854432","","0","minimize","36","0.002","0","-2030622470","1","","1","31","52","0.011","","0.0","0.05","0.0","","10807","350","0","","","350","19","1","10828","1","0.172084","0.002","14","endtimes_reverse-cp2025","","","0","17"
