"configuration","problem","model","data_file","status","time","method","solver_objective","boolVariables","flatBoolConstraints","optTime","variables","evaluatedReifiedConstraints","run","initTime","trailMem","paths","restarts","peakMem","objective","intVars","flatBoolVars","eliminatedLinearConstraints","nodes","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","peakDepth","solveTime","backjumps","openNodes","nogoods","propagators","objectiveBound","baseMem","eliminatedImplications","flatTime","flatIntVars","propagations","failures","randomSeed"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","SATISFIED","303.910912070889","minimize","","","28627","","","43550","makespan_reverse-cp2025_big","","","0","","","5121","","48015","","","46577","1","833","","","","","","","","","1452","3.31821","3306","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-04.dzn","SATISFIED","300.7897196339909","minimize","1097","77075","2320","0.567","77827","2356","makespan_reverse-cp2025_big","0.3","1.41","0","17","0.0","1097","750","3236","","289765","3257","1","136","124","299.439","1217","","288059","5120","","0.0","242","0.5524","736","563842011","288059","1240647112"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-03.dzn","SATISFIED","305.65105223096907","minimize","","","48109","","","73378","makespan_reverse-cp2025_big","","","0","","","6009","","80022","","","76301","1","1376","","","","","","","","","2420","4.95645","4532","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-01.dzn","OPTIMAL_SOLUTION","0.7298360371496528","minimize","1590","5885","973","0.018","6224","804","makespan_reverse-cp2025_big","0.087","3.16","0","3","0.0","1590","337","1243","","214","1160","3","80","65","0.018","2","","22","1698","","0.0","121","0.314582","331","29563","22","1892107575"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","SATISFIED","303.1594860421028","minimize","","","19289","","","29442","makespan_reverse-cp2025_big","","","0","","","4563","","32734","","","32309","1","560","","","","","","","","","968","2.40173","2608","","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","SATISFIED","302.61726616090164","minimize","","","12496","","","19282","makespan_reverse-cp2025_big","","","0","","","3814","","21727","","","22090","2","360","","","","","","","","","605","1.82015","2105","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","OPTIMAL_SOLUTION","63.537666876101866","minimize","5065","402937","34823","50.775","406716","52516","makespan_reverse-cp2025_big","5.208","10.68","0","1","0.0","5065","3777","57767","","83988","55434","1","1036","810","50.805","61330","","21942","104324","","0.0","1815","3.93462","3739","375337716","21942","2122732901"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","SATISFIED","302.73328171507455","minimize","","","11728","","","17746","makespan_reverse-cp2025_big","","","0","","","5332","","20156","","","20488","5","353","","","","","","","","","605","1.63311","2075","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-06.dzn","OPTIMAL_SOLUTION","0.6372769589070231","minimize","1213","4621","879","0.007","4914","616","makespan_reverse-cp2025_big","0.051","0.63","0","1","0.0","1213","291","1018","","62","883","1","81","62","0.007","0","","0","1246","","0.0","121","0.288265","286","3223","0","-1643997414"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","UNKNOWN","304.4739662280772","minimize","","","34823","","","52516","makespan_reverse-cp2025_big","","","0","","","","","57767","","","55434","0","1036","","","","","","","","","1815","3.97058","3739","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","OPTIMAL_SOLUTION","4.404730360023677","minimize","2354","195","1210","","","378","makespan_reverse-cp2025_big","","","0","","","2354","","1502","","","2154","5","378","","1.3107","","","","","2354","","484","0.549931","1020","190698","272",""
