configuration,problem,model,data_file,status,time,trailMem,nogoods,eliminatedLinearConstraints,flatBoolConstraints,backjumps,flatBoolVars,flatIntVars,objectiveBound,initTime,propagations,flatIntConstraints,method,peakDepth,failures,run,baseMem,boolVariables,eliminatedImplications,nSolutions,flatTime,openNodes,paths,intVars,peakMem,evaluatedHalfReifiedConstraints,randomSeed,solver_objective,solveTime,propagators,restarts,evaluatedReifiedConstraints,variables,nodes
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t011-03.dzn,SATISFIED,1.5709117719670758,1.41,38.0,,2936.0,108.0,3483,710,,0.247,88119.0,2937,satisfy,158.0,38.0,results_sat_all,0.0,9635.0,363.0,1,0.622117,,0,713.0,0.0,216.0,-1497676004.0,,0.032,4681.0,0.0,2446.0,10350.0,305.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t012-01.dzn,SATISFIED,1.8197713870322327,3.16,4.0,,4106.0,0.0,4981,904,,0.335,26098.0,4211,satisfy,206.0,4.0,results_sat_all,0.0,14498.0,484.0,1,0.736534,,0,907.0,0.0,281.0,-1172106338.0,,0.036,6957.0,0.0,3644.0,15407.0,211.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t012-02.dzn,SATISFIED,1.435019902070053,0.63,24.0,,1888.0,144.0,2253,550,,0.237,63589.0,1973,satisfy,114.0,24.0,results_sat_all,0.0,7257.0,242.0,1,0.550814,,0,551.0,0.0,151.0,2072805300.0,,0.028,2945.0,0.0,1492.0,7810.0,283.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t012-03.dzn,SATISFIED,2.279023809009232,10.68,40.0,,5292.0,7.0,6507,1075,,0.453,85992.0,5475,satisfy,258.0,40.0,results_sat_all,0.0,12317.0,605.0,1,0.819709,,0,1081.0,0.0,352.0,1487900902.0,,0.044,9233.0,0.0,4874.0,13400.0,306.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t013-01.dzn,SATISFIED,2.431404224014841,1.41,1191.0,,5377.0,133.0,6694,1090,,0.567,2366977.0,5676,satisfy,252.0,1191.0,results_sat_all,0.0,19924.0,605.0,1,0.809955,,0,1096.0,0.0,355.0,-1682367881.0,,0.227,9572.0,0.0,5044.0,21022.0,1577.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t013-02.dzn,SATISFIED,2.3515843430068344,0.94,48.0,,5313.0,576.0,6558,1096,,0.59,597808.0,5557,satisfy,250.0,48.0,results_sat_all,0.0,11954.0,605.0,1,0.815717,,0,1100.0,0.0,349.0,-237202105.0,,0.104,9366.0,0.0,4916.0,13056.0,875.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t013-03.dzn,SATISFIED,1.9156719309976324,4.75,1164.0,,2977.0,840.0,3594,742,,0.323,2028367.0,3083,satisfy,157.0,1164.0,results_sat_all,0.0,13305.0,363.0,1,0.64927,,0,744.0,0.0,219.0,1626451073.0,,0.268,4874.0,0.0,2528.0,14051.0,2162.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t014-01.dzn,SATISFIED,2.2377811550395563,2.11,277.0,,5390.0,439.0,6729,1111,,0.54,735143.0,5742,satisfy,254.0,277.0,results_sat_all,0.0,18619.0,605.0,1,0.824084,,0,1115.0,0.0,352.0,1574355747.0,,0.094,9673.0,0.0,5070.0,19736.0,971.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t014-02.dzn,SATISFIED,2.3805955220013857,10.68,44.0,,5398.0,540.0,6745,1111,,0.605,466658.0,5758,satisfy,255.0,44.0,results_sat_all,0.0,11523.0,605.0,1,0.842527,,0,1115.0,0.0,352.0,-850512348.0,,0.095,9705.0,0.0,5086.0,12640.0,840.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t014-03.dzn,SATISFIED,2.813712034956552,10.68,98.0,,8470.0,49.0,11183,1467,,0.751,339282.0,9709,satisfy,360.0,98.0,results_sat_all,0.0,18840.0,847.0,1,1.07491,,0,1473.0,0.0,482.0,-240595667.0,,0.073,17169.0,0.0,8946.0,20315.0,508.0
