"configuration","problem","model","data_file","status","time","objectiveBound","solver_objective","eliminatedImplications","randomSeed","flatBoolVars","nodes","boolVariables","propagators","backjumps","baseMem","evaluatedReifiedConstraints","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","run","trailMem","solveTime","flatTime","method","eliminatedLinearConstraints","flatIntVars","variables","intVars","nogoods","propagations","peakMem","failures","restarts","peakDepth","paths","initTime","openNodes"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-02.dzn","SATISFIED","18.74258255911991","","","","","3566","1","","","","","5282","43129","1","25761","","sat_reverse-cp2025_big","","17.6588","8.51738","satisfy","1830","27960","","","","","","","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-04.dzn","SATISFIED","7.101097794016823","","","726","","25498","1575","","16779","","","23164","25642","1","","14798","sat_reverse-cp2025_big","","1.8","2.01738","satisfy","","2277","3051","","","","459.0","681","","","0","1.24",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","SATISFIED","12.827865808969364","","","","","3117","1","","","","","4659","33993","1","20335","","sat_reverse-cp2025_big","","11.9485","6.75636","satisfy","1525","22086","","","","","","","","","0","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","SATISFIED","18.746513745049015","","","968","620687295","34162","8362","918074","62403","1520","0.0","30880","33711","1","560","20008","sat_reverse-cp2025_big","16.02","10.003","2.43868","satisfy","","2592","920706","2630","6071","87584211","0.0","6071","7","468","0","3.636",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","UNKNOWN","302.5552439028397","","","605","","20375","","","","","","17962","20707","0","356","11836","sat_reverse-cp2025_big","","","1.71396","satisfy","","2075","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","UNKNOWN","303.6756262239069","","","1089","","36713","","","","","","33142","36008","0","630","21710","sat_reverse-cp2025_big","","","2.57081","satisfy","","2765","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","SATISFIED","0.8043005829676986","","","121","1477610099","1617","69","4033","2534","1","0.0","1116","1704","1","72","1129","sat_reverse-cp2025_big","3.16","0.009","0.353158","satisfy","","439","4479","444","1","10307","0.0","1","0","66","0","0.114",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","SATISFIED","1.5125332330353558","","","121","-2042603423","1089","64","564388","1456","0","0.0","676","1021","1","72","909","sat_reverse-cp2025_big","0.94","0.016","0.291795","satisfy","","322","564985","595","0","4492","0.0","0","0","63","0","0.8",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-03.dzn","SATISFIED","3.9803193148691207","","","484","1690711479","12173","3485","110348","21613","1174","0.0","10344","12315","1","275","7456","sat_reverse-cp2025_big","3.16","0.91","1.08343","satisfy","","1552","111931","1581","2058","7909182","0.0","2058","0","252","0","1.044",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","SATISFIED","0.5740129519253969","","","121","21799155","719","50","59324","704","0","0.0","414","486","1","68","778","sat_reverse-cp2025_big","0.08","0.003","0.232652","satisfy","","190","59517","191","0","1382","0.0","0","0","49","0","0.058",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","UNKNOWN","302.43023110204376","","","605","","18403","","","","","","16060","18610","0","356","10885","sat_reverse-cp2025_big","","","1.5659","satisfy","","1981","","","","","","","","","0","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","UNKNOWN","309.1234439651016","","","","","11744","1","","","","","12618","225121","0","130133","","sat_reverse-cp2025_big","","257.975","41.9477","satisfy","9150","141498","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","UNKNOWN","304.52907289308496","","","1815","","57767","","","","","","52516","55434","0","1036","34823","sat_reverse-cp2025_big","","","3.79983","satisfy","","3739","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.5998514229432","","","2420","","79514","","","","","","72870","75793","0","1376","47855","sat_reverse-cp2025_big","","","5.28385","satisfy","","4532","","","","","","","","","0","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","ALL_SOLUTIONS","0.8162342540454119","0","0","242","","598","","81","","","","189","695","1","189","605","sat_reverse-cp2025_big","","0.093244","0.259589","satisfy","","321","","","","6389","","0","","","0","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.7296457290649414","","","121","-563660487","1186","84","8781","1616","0","0.0","728","1174","1","77","935","sat_reverse-cp2025_big","0.19","0.01","0.307723","satisfy","","373","9159","376","21","23245","0.0","21","0","62","0","0.096",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","SATISFIED","2.896055447869003","","","363","-1426819082","9149","1067","44148","16127","85","0.0","7610","9467","1","220","5518","sat_reverse-cp2025_big","1.41","0.154","0.971034","satisfy","","1345","45521","1371","691","1435175","0.0","691","3","198","0","0.917",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","2.3257329990155995","","","242","","5881","1300","","4869","","","4911","6221","1","","3524","sat_reverse-cp2025_big","","0.54","0.715158","satisfy","","989","1417","","","","125.0","594","","","0","0.26",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-05.dzn","SATISFIED","0.6618323801085353","","","121","-1721102487","993","135","9717","1238","1","0.0","600","882","1","74","871","sat_reverse-cp2025_big","0.94","0.016","0.277587","satisfy","","296","10016","297","76","64654","0.0","76","0","57","0","0.071",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","UNKNOWN","303.3684926489368","","","1331","","41021","","","","","","36856","39816","0","766","24709","sat_reverse-cp2025_big","","","2.82918","satisfy","","3119","","","","","","","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","SATISFIED","17.228247995022684","","","1452","1479610258","50508","11361","212327","92075","1098","0.0","46044","49070","1","832","29874","sat_reverse-cp2025_big","7.12","6.729","3.34576","satisfy","","3306","215674","3345","9542","69972307","0.0","9542","8","654","0","4.222",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-01.dzn","UNKNOWN","303.79315554583445","","","1210","","38979","","","","","","35132","37994","0","697","23276","sat_reverse-cp2025_big","","","2.77106","satisfy","","2922","","","","","","","","","0","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","ALL_SOLUTIONS","15.545235350960866","0","0","968","","2760","","1255","","","","756","3676","1","756","2420","sat_reverse-cp2025_big","","7.49382","0.805245","satisfy","","1754","","","","9129400","","25240","","","0","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","ALL_SOLUTIONS","17.86192762502469","0","0","1936","","4778","","286","","","","1512","5338","1","1512","4840","sat_reverse-cp2025_big","","3.072","1.033779","satisfy","","2580","","","","398589","","129","","","0","",""
