"configuration","problem","model","data_file","status","time","objectiveBound","solver_objective","eliminatedImplications","randomSeed","flatBoolVars","nodes","boolVariables","propagators","backjumps","baseMem","evaluatedReifiedConstraints","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","run","trailMem","solveTime","flatTime","method","eliminatedLinearConstraints","flatIntVars","variables","intVars","nogoods","propagations","peakMem","failures","restarts","peakDepth","paths","initTime","openNodes"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","ALL_SOLUTIONS","1.2762040551751852","0","0","484","","1068","","182","","","","378","1021","1","378","1210","sat_reverse-cp2025_big","","0.17192","0.303895","satisfy","","485","","","","13041","","35","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","11.092262896941975","","","242","468623587","5881","2023","879226","10351","1120","0.0","4764","6248","1","147","3524","sat_reverse-cp2025_big","10.68","8.783","0.800995","satisfy","","1016","880263","1035","691","19165845","0.0","691","4","154","0","0.599",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","ALL_SOLUTIONS","17.940151711925864","0","0","1936","","4848","","294","","","","1512","5552","1","1512","4840","sat_reverse-cp2025_big","","3.04103","1.08243","satisfy","","2670","","","","343772","","135","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","30.93633669987321","","","242","-1641019726","5932","6375","1511142","10369","4644","0.0","4788","6294","1","156","3536","sat_reverse-cp2025_big","16.02","28.457","0.793976","satisfy","","1026","1512191","1047","1340","44925883","0.0","1340","7","1141","0","0.59",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","UNKNOWN","303.80021469597705","","","968","","29789","","","","","","26508","29338","0","559","17822","sat_reverse-cp2025_big","","","2.29746","satisfy","","2592","","","","","","","","","0","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","ALL_SOLUTIONS","12.815694350050762","0","0","1210","","3272","","752","","","","945","4128","1","945","3025","sat_reverse-cp2025_big","","5.77563","0.865117","satisfy","","1973","","","","6515975","","15104","","","0","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8792780390940607","","","121","-1513278819","833","57","299011","912","0","0.0","482","650","1","74","812","sat_reverse-cp2025_big","0.42","0.011","0.253073","satisfy","","239","299256","243","0","2055","0.0","0","0","56","0","0.268",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","16.564173752907664","","","1331","567659938","41021","10383","211142","73848","4453","0.0","36856","39816","1","766","24709","sat_reverse-cp2025_big","2.11","7.827","2.90474","satisfy","","3119","214302","3158","4901","54863445","0.0","4901","7","608","0","3.389",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","7.295420991955325","","","605","-1997524619","19295","7455","225684","35056","3340","0.0","16914","19596","1","352","11312","sat_reverse-cp2025_big","4.75","2.27","1.59064","satisfy","","2045","227767","2081","3802","17243167","0.0","3802","0","312","0","1.924",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.5267012498807","","","2420","","79514","","","","","","72870","75793","0","1376","47855","sat_reverse-cp2025_big","","","4.92385","satisfy","","4532","","","","","","","","","0","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","SATISFIED","0.47586456988938153","","","","","40","0","","","","","84","102","1","102","","sat_reverse-cp2025_big","","0.1991","0.197441","satisfy","","99","","","","","","","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","10.453048194991425","","","1089","2094564270","35596","2830","126730","64518","1016","0.0","32026","34891","1","629","21152","sat_reverse-cp2025_big","36.04","2.073999","2.57628","satisfy","","2765","129535","2803","1091","25092206","0.0","1091","3","514","0","3.449",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","11.114286388969049","","","1089","1624129187","35596","3981","332758","64518","638","0.0","32026","34891","1","629","21152","sat_reverse-cp2025_big","36.04","2.731","2.48233","satisfy","","2765","335563","2803","2639","27316673","0.0","2639","5","513","0","3.49",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","1.2925638798624277","","","242","2012010652","2913","1058","12971","4269","170","0.0","2078","2747","1","153","2181","sat_reverse-cp2025_big","0.19","0.106","0.499819","satisfy","","638","13616","643","770","1048038","0.0","770","0","117","0","0.262",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","UNKNOWN","303.2387958969921","","","968","","32038","","","","","","28728","31668","0","558","18932","sat_reverse-cp2025_big","","","2.45749","satisfy","","2640","","","","","","","","","0","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","4.457997045945376","","","484","1805252488","13944","3006","191364","24943","630","0.0","11990","14204","1","292","8279","sat_reverse-cp2025_big","3.16","0.747","1.26758","satisfy","","1668","193067","1701","2009","6799297","0.0","2009","5","259","0","1.318",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","SATISFIED","1.8719465429894626","","","242","-1750203364","2158","161","714221","2843","0","0.0","1478","1792","1","140","1881","sat_reverse-cp2025_big","2.11","0.025","0.340184","satisfy","","464","715097","874","54","14237","0.0","54","0","106","0","1.038999",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","ALL_SOLUTIONS","14.56190463481471","0","0","1694","","4324","","277","","","","1323","5062","1","1323","4235","sat_reverse-cp2025_big","","2.083759","1.00625","satisfy","","2436","","","","189714","","129","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","SATISFIED","0.5178185200784355","","","","-1269210430","185","11","5423","345","0","0.0","66","342","1","9","33","sat_reverse-cp2025_big","0.08","0.005","0.225576","satisfy","","133","5562","137","0","1165","0.0","0","0","10","0","0.029",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","SATISFIED","19.403205533977598","","","3025","","107237","557","","59793","","","100826","102213","1","","63830","sat_reverse-cp2025_big","","5.63","6.63257","satisfy","","5366","5697","","","","1065.0","202","","","0","4.48",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","SATISFIED","0.7914889429230243","","","121","1647317203","1617","68","4031","2534","1","0.0","1116","1704","1","72","1129","sat_reverse-cp2025_big","3.16","0.012","0.338348","satisfy","","439","4477","444","1","10793","0.0","1","0","65","0","0.114",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-05.dzn","SATISFIED","0.5477222779300064","","","","1252258123","50","4","68210","106","0","0.0","8","114","1","","4","sat_reverse-cp2025_big","0.08","0.005","0.200419","satisfy","","51","68268","56","0","337","0.0","0","0","3","0","0.059",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","ALL_SOLUTIONS","5.40922895912081","0","0","484","","1488","","589","","","","378","2152","1","378","1210","sat_reverse-cp2025_big","","2.34788","0.548231","satisfy","","1016","","","","268315","","586","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","17.429086193209514","","","1815","1811789489","62138","6422","206342","113060","1198","0.0","56832","59878","1","1035","36981","sat_reverse-cp2025_big","24.03","4.502","4.15462","satisfy","","3789","210171","3827","4287","38894722","0.0","4287","6","804","0","5.217",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-02.dzn","SATISFIED","30.912866283906624","","","","","4637","1","","","","","6381","61022","1","35604","","sat_reverse-cp2025_big","","29.5789","10.8645","satisfy","2745","38954","","","","","","","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-04.dzn","SATISFIED","8.808155924780294","","","484","1843911314","12358","15590","190184","21926","5847","0.0","10502","12522","1","280","7535","sat_reverse-cp2025_big","2.11","5.692","1.14579","satisfy","","1576","191792","1606","9285","52076749","0.0","9285","8","230","0","0.989",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-01.dzn","SATISFIED","12.032490567071363","","","1331","-26066025","41523","4975","114060","74852","767","0.0","37358","40318","1","766","24960","sat_reverse-cp2025_big","7.12","2.001","2.9388","satisfy","","3119","117220","3158","3377","19371525","0.0","3377","6","608","0","4.278",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","SATISFIED","0.5665391148068011","","","121","716929513","719","50","59324","704","0","0.0","414","486","1","68","778","sat_reverse-cp2025_big","0.08","0.007","0.226193","satisfy","","190","59517","191","0","1382","0.0","0","0","49","0","0.057",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-03.dzn","UNKNOWN","308.2798075280152","","","3630","","132694","","","","","","123162","126350","0","2056","78711","sat_reverse-cp2025_big","","","8.0637","satisfy","","6220","","","","","","","","","0","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t045-01.dzn","UNKNOWN","305.6231981529854","","","8470","","17536","","","","","","6615","14073","0","6615","21175","sat_reverse-cp2025_big","","","2.43573","satisfy","","6986","","","","","","","","","0","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-06.dzn","UNKNOWN","302.2565118910279","","","484","","14588","","","","","","12596","14942","0","288","8582","sat_reverse-cp2025_big","","","1.39832","satisfy","","1732","","","","","","","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-03.dzn","UNKNOWN","303.79563249484636","","","1452","","46697","","","","","","42286","45178","0","833","27995","sat_reverse-cp2025_big","","","3.09383","satisfy","","3252","","","","","","","","","0","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","UNKNOWN","310.53104522801004","","","4840","","204267","","","","","","191892","195252","0","2735","118786","sat_reverse-cp2025_big","","","11.6907","satisfy","","7877","","","","","","","","","0","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","ALL_SOLUTIONS","5.026160376146436","0","0","726","","2090","","114","","","","567","2818","1","567","1815","sat_reverse-cp2025_big","","0.635772","0.672907","satisfy","","1339","","","","41169","","30","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","SATISFIED","2.7625630241818726","","","363","480274860","9007","1666","68675","15890","855","0.0","7502","9291","1","216","5464","sat_reverse-cp2025_big","1.41","0.252","0.97384","satisfy","","1313","70015","1338","588","2419954","0.0","588","2","184","0","0.756",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","ALL_SOLUTIONS","2.1416044291108847","0","0","726","","1632","","316","","","","567","1572","1","567","1815","sat_reverse-cp2025_big","","0.343078","0.42392","satisfy","","760","","","","57634","","131","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","1.2617796580307186","","","242","","2913","268","","2431","","","2231","2732","1","","2181","sat_reverse-cp2025_big","","0.19","0.453701","satisfy","","623","802","","","","55.0","111","","","0","0.11",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","303.9258008180186","","","1452","","50508","","","","","","46044","49070","0","832","29874","sat_reverse-cp2025_big","","","3.47013","satisfy","","3306","","","","","","","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","6.506813829066232","","","605","","20451","1910","","13987","","","18366","20765","1","","11858","sat_reverse-cp2025_big","","1.58","1.72213","satisfy","","2056","2825","","","","440.0","864","","","0","1.05",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-06.dzn","SATISFIED","41.65144467097707","","","","","4300","1","","","","","6056","57056","1","33678","","sat_reverse-cp2025_big","","40.3182","10.4074","satisfy","2440","36633","","","","","","","","","0","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","2.404294610954821","","","","","1262","1","","","","","1830","8183","1","4541","","sat_reverse-cp2025_big","","2.0093","1.59889","satisfy","610","5266","","","","","","","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","SATISFIED","14.552695548860356","","","1815","","57767","2024","","33776","","","53552","55385","1","","34823","sat_reverse-cp2025_big","","3.91","3.57578","satisfy","","3690","4205","","","","1112.0","890","","","0","2.94",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","UNKNOWN","302.59838604787365","","","605","","21727","","","","","","19282","22090","0","360","12496","sat_reverse-cp2025_big","","","1.76777","satisfy","","2105","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","UNKNOWN","303.06945784087293","","","726","","24271","","","","","","21542","24380","0","425","14197","sat_reverse-cp2025_big","","","1.91184","satisfy","","2278","","","","","","","","","0","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","ALL_SOLUTIONS","29.582779775140807","0","0","2178","","5254","","1458","","","","1701","5680","1","1701","5445","sat_reverse-cp2025_big","","16.2486","1.10329","satisfy","","2752","","","","1411461","","2082","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","SATISFIED","14.759908355074003","","","484","-467485332","15013","27372","161339","27095","10558","0.0","12992","15398","1","289","8780","sat_reverse-cp2025_big","1.41","10.151","1.38983","satisfy","","1762","163135","1794","16254","78191687","0.0","16254","9","241","0","1.811",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","ALL_SOLUTIONS","3.710759134963155","0","0","484","","1328","","484","","","","378","1763","1","378","1210","sat_reverse-cp2025_big","","1.97842","0.450698","satisfy","","829","","","","2019483","","8591","","","0","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","SATISFIED","5.595028951996937","","","605","-371158388","19705","1976","142490","35876","407","0.0","17324","20006","1","352","11517","sat_reverse-cp2025_big","10.68","0.755","1.64965","satisfy","","2045","144573","2081","1256","5254394","0.0","1256","0","312","0","1.778",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-03.dzn","SATISFIED","94.45180071983486","","","2420","1566791349","80022","85932","360014","145039","24763","0.0","73378","76301","1","1376","48109","sat_reverse-cp2025_big","7.12","77.242","5.06068","satisfy","","4532","364587","4571","59766","485849804","0.0","59766","13","1043","0","7.386",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","UNKNOWN","308.20261315093376","","","3630","","135131","","","","","","125600","128787","0","2055","79930","sat_reverse-cp2025_big","","","8.05682","satisfy","","6220","","","","","","","","","0","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","6.733964066952467","","","605","-499326601","20375","3495","96629","37153","2561","0.0","17962","20707","1","356","11836","sat_reverse-cp2025_big","16.02","1.473","1.70086","satisfy","","2075","98743","2112","616","20092630","0.0","616","0","317","0","2.011",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.7378630428574979","","","121","2053892551","1186","85","8811","1616","0","0.0","728","1174","1","77","935","sat_reverse-cp2025_big","0.19","0.011","0.319437","satisfy","","373","9189","376","21","23375","0.0","21","0","63","0","0.096",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","ALL_SOLUTIONS","14.114038976142183","0","0","1210","","3314","","728","","","","945","4266","1","945","3025","sat_reverse-cp2025_big","","5.6671","0.874712","satisfy","","2038","","","","458035","","698","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","UNKNOWN","303.312318748096","","","1089","","35667","","","","","","32096","34962","0","630","21187","sat_reverse-cp2025_big","","","2.58577","satisfy","","2765","","","","","","","","","0","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-04.dzn","ALL_SOLUTIONS","4.823923788964748","0","0","726","","2060","","627","","","","567","2754","1","567","1815","sat_reverse-cp2025_big","","1.045879","0.653315","satisfy","","1308","","","","182533","","581","","","0","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","SATISFIED","3.513888348126784","","","363","653342135","9638","3340","89244","17111","1449","0.0","8102","9956","1","217","5764","sat_reverse-cp2025_big","3.16","0.497","1.01335","satisfy","","1345","90617","1371","1712","5306760","0.0","1712","0","178","0","1.063",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","4.349795029032975","","","242","-672917991","4028","21783","46794","6732","11790","0.0","3072","4183","1","136","2678","sat_reverse-cp2025_big","2.11","3.052","0.564444","satisfy","","836","47646","850","9751","24478892","0.0","9751","8","123","0","0.273",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","ALL_SOLUTIONS","23.55580789083615","0","0","2904","","6716","","2611","","","","2268","6769","1","2268","7260","sat_reverse-cp2025_big","","6.29581","1.3585","satisfy","","3290","","","","1899849","","8264","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","SATISFIED","21.55355929513462","","","2420","","81370","2765","","46084","","","76102","77600","1","","48783","sat_reverse-cp2025_big","","6.07","4.96767","satisfy","","4483","4861","","","","1670.0","1225","","","0","4.24",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-02.dzn","ALL_SOLUTIONS","0.5038843711372465","0","0","","","28","","1","","","","","77","1","","","sat_reverse-cp2025_big","","0.022174","0.178476","satisfy","","32","","","","1","","0","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","SATISFIED","6.863720333203673","","","605","-627275029","20375","3677","96229","37153","2561","0.0","17962","20707","1","356","11836","sat_reverse-cp2025_big","16.02","1.571","1.72945","satisfy","","2075","98343","2112","616","21141900","0.0","616","3","317","0","2.035",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","SATISFIED","66.39850974315777","","","4840","27069133","204267","18698","389269","378365","6600","0.0","191892","195252","1","2735","118786","sat_reverse-cp2025_big","54.07","28.931","11.9928","satisfy","","7877","397187","7916","10086","134509966","0.0","10086","0","2011","0","15.424",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","UNKNOWN","303.2425043298863","","","968","","32734","","","","","","29442","32309","0","560","19289","sat_reverse-cp2025_big","","","2.50045","satisfy","","2608","","","","","","","","","0","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","ALL_SOLUTIONS","14.432017676066607","0","0","1694","","3928","","1029","","","","511","4213","1","2135","4235","sat_reverse-cp2025_big","","6.76396","1.58956","satisfy","","2409","","","","560100","","66","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-01.dzn","SATISFIED","3.8032740829512477","","","363","-1440356019","9239","7462","60954","16405","5774","0.0","7732","9553","1","212","5579","sat_reverse-cp2025_big","0.94","1.026999","0.988902","satisfy","","1329","62309","1353","1372","17090127","0.0","1372","4","196","0","0.929",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-03.dzn","SATISFIED","15.76521491096355","","","847","437244786","30585","7931","273047","56241","2210","0.0","27534","30559","1","484","17764","sat_reverse-cp2025_big","16.02","9.066","2.30015","satisfy","","2519","275609","2560","5295","35134591","0.0","5295","0","425","0","2.477",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","SATISFIED","10.659722910961136","","","605","333440237","20451","16827","79126","37242","7999","0.0","18006","20814","1","360","11858","sat_reverse-cp2025_big","7.12","5.171","1.72468","satisfy","","2105","81271","2143","8506","66674363","0.0","8506","8","321","0","2.153",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","UNKNOWN","304.6715175989084","","","3025","","107433","","","","","","99364","102371","0","1716","63957","sat_reverse-cp2025_big","","","6.62278","satisfy","","5357","","","","","","","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-03.dzn","UNKNOWN","303.6389769529924","","","1089","","39077","","","","","","35508","38372","0","628","22893","sat_reverse-cp2025_big","","","2.75123","satisfy","","2765","","","","","","","","","0","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","SATISFIED","46.28411128395237","","","1815","1311483209","62138","48797","271101","113060","13544","0.0","56832","59878","1","1035","36981","sat_reverse-cp2025_big","24.03","33.304","4.17609","satisfy","","3789","274930","3827","34452","244912558","0.0","34452","0","800","0","5.244",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","3.106087694875896","","","","","1388","1","","","","","2138","9622","1","5592","","sat_reverse-cp2025_big","","2.6787","2.01104","satisfy","610","6310","","","","","","","","","0","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","ALL_SOLUTIONS","2.5203655948862433","0","0","484","","1414","","112","","","","378","1945","1","378","1210","sat_reverse-cp2025_big","","0.396065","0.492062","satisfy","","918","","","","37192","","54","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","SATISFIED","1.6335380249656737","","","242","-1312227931","4862","1169","39318","8303","515","0.0","3814","5104","1","148","3049","sat_reverse-cp2025_big","3.16","0.118","0.658041","satisfy","","922","40261","941","507","837239","0.0","507","2","129","0","0.357",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","ALL_SOLUTIONS","44.69331262097694","0","0","6050","","12836","","4034","","","","4725","10912","1","4725","15125","sat_reverse-cp2025_big","","27.8868","1.89255","satisfy","","5386","","","","10854464","","11210","","","0","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","ALL_SOLUTIONS","1.2420636059250683","0","0","242","","682","","86","","","","189","931","1","189","605","sat_reverse-cp2025_big","","0.106288","0.289666","satisfy","","434","","","","6479","","0","","","0","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","ALL_SOLUTIONS","3.9765713929664344","0","0","726","","1952","","301","","","","567","2473","1","567","1815","sat_reverse-cp2025_big","","0.423855","0.582575","satisfy","","1175","","","","88059","","236","","","0","",""
