"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"cpsat_fixed_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","OPTIMAL_SOLUTION","2.264951594057493","0","","1","1847","17588","4","","756","0.366676","","968","","","","","","","","","2084","15238","endtimes_appear-cp2025","0.473369","293","15238","","","","2420","899","","756","15238","","minimize"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-01.dzn","OPTIMAL_SOLUTION","1.0793675309978426","0","","1","3186","","","","822","0.7714","","","","","","360","","","","","519","8137","endtimes_appear-cp2025","0.660523","","8137","","","1","","1822","","1324","8137","","minimize"
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-03.dzn","OPTIMAL_SOLUTION","1.6312593939946964","0","-616978172","1","1113","3931","0","0.0","521","0.026","","196","777","0.798","0.024","","2.11","584156","1","0.0","1023","3795","endtimes_appear-cp2025","0.355339","583377","","56","1375","56","1027","560","0","214","3795","0","minimize"
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","OPTIMAL_SOLUTION","4.83846843696665","0","","5","3904","231074","57","","1060","1.82483","","1635","","","","","","","","","3267","20927","endtimes_appear-cp2025","0.843998","440","20927","","","","4035","2160","","1710","20927","","minimize"
"chuffed_fixed_standard_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","OPTIMAL_SOLUTION","1.1203317779581994","0","1374623080","1","2523","24555","5","0.0","1706","0.011","","312","820","0.218","0.011","","0.42","8778","1","0.0","2607","12868","endtimes_appear-cp2025","0.503843","7956","","110","3692","124","2170","819","9","261","12868","5","minimize"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-03.dzn","SATISFIED","304.11338810098823","0","","1","83525","","","","79992","","","3400","","","","","","","","","88079","","endtimes_appear-cp2025","5.60266","","","","","","55196","6079","","2256","145691","","minimize"
"gurobi_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","OPTIMAL_SOLUTION","6.140184456016868","0","","18","14307","","","","2405","5.5324","","","","","","1525","","","","","2070","34689","endtimes_appear-cp2025","2.31915","","34689","","","27","","8217","","6292","34689","","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-03.dzn","SATISFIED","302.41991132998373","0","","3","13202","48210693","78009","","5100","92.0738","","7175","","","","","","","","","13691","146156","endtimes_appear-cp2025","2.52479","3215","144399","","","","17375","6972","","6350","146156","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-03.dzn","SATISFIED","300.72781393502373","0","","2","3054","327542","291","","1323","0.884204","","1694","","","","","","","","","3594","26133","endtimes_appear-cp2025","0.64702","609","25878","","","","4235","1500","","1323","26133","","minimize"
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-05.dzn","OPTIMAL_SOLUTION","1.7207171220798045","0","-980121156","1","4841","24751","2","0.0","3842","0.014","","564","1240","0.451","0.013","","0.94","12391","1","0.0","5339","21320","endtimes_appear-cp2025","0.710717","11149","","220","7730","230","4407","1234","9","413","21320","2","minimize"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","OPTIMAL_SOLUTION","1.5760293670464307","0","-812310291","2","4409","183373","91","0.0","3514","0.058","","564","1185","0.357","0.035","","2.11","13599","2","0.0","4947","13873","endtimes_appear-cp2025","0.661401","12412","","209","7025","532","4243","1180","24","407","13873","91","minimize"
